"Date","Returns_sq","GARCH","GAS","MSGARCH","Returns","Residuals_garch","Residuals_msgarch","Residuals_gas"
2021-09-26,0.000130505420340964,0.00196940499783995,0.00223879283911048,0.00198968329601266,0.0114238968982114,0.25742265015818,0.256107500678596,0.241438942559372
2021-09-27,0.000564688773249972,0.00184968901804123,0.0018465876139289,0.00187309080627625,-0.0237631810423178,-0.552529178617347,-0.549066770014064,-0.552992979343297
2021-09-28,0.000726444663537536,0.00176960456675987,0.00162809840765577,0.00180601691476535,-0.0269526374133875,-0.640712436178326,-0.634220626261809,-0.667976129692562
2021-09-29,0.000145422906703452,0.00171864094905512,0.00148690798153961,0.00160159193335176,0.0120591420384475,0.290886678646877,0.301328683485805,0.312733470353172
2021-09-30,0.00290581133694958,0.00161241536213901,0.00125398003567562,0.00164767979022556,0.053905577976213,1.34244111026131,1.32799762850513,1.52225845806635
2021-10-01,0.008829041900673,0.00171142763048189,0.00161854032317998,0.00167350289295024,0.0939629815441858,2.27131578591729,2.2969077611593,2.33558150312571
2021-10-02,0.000111961583026446,0.00225871429021376,0.00337912229128061,0.00242668393958526,-0.0105811900571933,-0.222640344540546,-0.214796849551324,-0.182025637411277
2021-10-03,0.000139087648605547,0.0021120353442538,0.00274094128486565,0.00213845520175847,0.0117935426656093,0.256621885559725,0.255031722513952,0.225265361435434
2021-10-04,0.00044273113401426,0.0019724587243065,0.00224097574279088,0.0020095798671484,0.0210411771061949,0.473768377847652,0.469372235359956,0.444479211982537
2021-10-05,0.00199249485271208,0.00187165153843058,0.00190049429316916,0.00192240567743741,0.0446373705846579,1.03177762667225,1.01806635201641,1.023918333356
2021-10-06,0.00518491347120469,0.00188361197574285,0.00191798295156222,0.00197499936957308,0.0720063432706084,1.65910944250195,1.62026957067163,1.64417630561287
2021-10-07,0.000786545092266015,0.00214216477500762,0.00261165814007344,0.00214818824385414,-0.0280454112515045,-0.605948027330304,-0.605097899034133,-0.548786789860335
2021-10-08,9.52024324288016e-06,0.00205030171668668,0.00227107317391556,0.00187828060657081,0.00308548914159168,0.0681420405688443,0.0711940640881478,0.0647453314798699
2021-10-09,0.000336149780338166,0.00191236957981048,0.00185347773378482,0.00164167075291477,0.0183343879182853,0.419257173889313,0.452505003119993,0.42586576542642
2021-10-10,2.81398407817798e-05,0.00181141211852037,0.00157702372485385,0.00164667560900496,-0.00530469987669235,-0.124638491320211,-0.130724440455226,-0.133580081605358
2021-10-11,0.0025172975516633,0.00169549156557593,0.00131099786206772,0.00150774892634985,0.0501726773419886,1.21848295928322,1.29211974421678,1.38569064496059
2021-10-12,0.000675464243943113,0.00175117899169575,0.0015730131585127,0.00158424778641877,-0.0259896949567153,-0.621063366269784,-0.652964586068118,-0.655292208820561
2021-10-13,0.000584302857628452,0.00167754786816722,0.00143461860365278,0.00164914608396011,0.0241723573039216,0.590175999805292,0.59523634494486,0.6381911479308
2021-10-14,1.10424598108552e-07,0.00159754645598589,0.001286193483557,0.00154303579809335,-0.000332301968258619,-0.00831392620959538,-0.00845950424715219,-0.00926573256724653
2021-10-15,0.00528527636382968,0.00149951296470886,0.00107144228996947,0.00148701624412983,0.0726999062160996,1.87740831975227,1.88528058122329,2.22100460288213
2021-10-16,0.000169127022080329,0.00175737225246774,0.00209860087269561,0.00206144908385299,-0.0130048845469819,-0.310223446586683,-0.286431115769401,-0.283884431774548
2021-10-17,0.000113758742347352,0.00165017405598526,0.00175190229204795,0.00149802854607394,0.0106657743435417,0.262559365150694,0.275570260278144,0.254822311352027
2021-10-18,6.07676839480463e-05,0.00155174825359688,0.00145721807873658,0.00168439569667707,0.00779536297731198,0.19789084798487,0.189939058328895,0.204208618301171
2021-10-19,0.00129345513550043,0.00145611234858383,0.0012159273620567,0.00158553460572501,0.0359646372913787,0.942493236408383,0.903208096601815,1.0313875127031
2021-10-20,0.000697931119571428,0.00144724391721645,0.0012460597832508,0.00151806118500087,0.0264183860137486,0.694441098115832,0.678049880242444,0.748405278544225
2021-10-21,0.00353207233208557,0.00140678328310649,0.00115694077347697,0.00149373367203929,-0.0594312403714206,-1.58453265900588,-1.53772334918329,-1.74726682407879
2021-10-22,0.000600017518706989,0.00157569717411709,0.00175818199341331,0.00179954076199023,-0.0244952550243305,-0.617085848946321,-0.577432363321428,-0.584184529074801
2021-10-23,9.63157630444939e-05,0.0015448223559769,0.0015659525014011,0.00152159649504531,0.0098140594579661,0.249694750473431,0.251593221013299,0.2480044036477
2021-10-24,5.06284557054758e-05,0.00144702962163337,0.00130544946425237,0.00138200090364814,-0.00711536757346209,-0.187050394940906,-0.191400547947906,-0.196932460962103
2021-10-25,0.00129140468216618,0.00136220116540233,0.00109595697764859,0.00136608584664486,0.0359361194644912,0.973667232379722,0.972281858383176,1.08551149137957
2021-10-26,0.00198689977711381,0.00135410005438813,0.00115077536497422,0.00129030216766317,-0.0445746539763778,-1.21133036146095,-1.24091566519539,-1.31399194341627
2021-10-27,0.00104095066544571,0.0014034695730136,0.00137961126647491,0.0014464745380992,-0.0322637670684269,-0.861218940911236,-0.848319943124873,-0.868633765849802
2021-10-28,0.00132139220433787,0.0014193485491167,0.00135220339782298,0.0013785314135439,0.0363509587815489,0.964875637953263,0.979056007510756,0.988541391985753
2021-10-29,0.000746446485238367,0.00141247089719104,0.00135873497495026,0.0014435827561343,0.0273211728378993,0.726958442487118,0.71908212948911,0.741194113269925
2021-10-30,4.04172833434504e-05,0.00137744598187935,0.00125521303888704,0.00132105264091622,-0.00635745887469596,-0.171295625111079,-0.174913567511253,-0.179442304678896
