Date,Returns,Returns_sq,GARCH,GAS,MSGARCH,Residuals_garch,Residuals_msgarch,Residuals_gas
2017-08-18,-0.042112865483654,0.0017734934392443363,,,,,,
2017-08-19,0.0076646007375735,5.874610446641224e-05,,,,,,
2017-08-20,-0.013053488973032,0.00017039357436906803,,,,,,
2017-08-21,-0.0173510855452204,0.0003010601695975563,,,,,,
2017-08-22,0.0059583095836313,3.550145309439259e-05,,,,,,
2017-08-23,0.0181535299791076,0.00032955065070235833,,,,,,
2017-08-24,0.0479331424011864,0.0022975861404524135,,,,,,
2017-08-25,-0.0082194888748272,6.755999736340812e-05,,,,,,
2017-08-26,0.0131724368457515,0.0001735130924553117,,,,,,
2017-08-27,-0.0063440880256973,4.024745287779586e-05,,,,,,
2017-08-28,0.0176347320652699,0.0003109837750138584,,,,,,
2017-08-29,0.0447558973343103,0.0020030903461993235,,,,,,
2017-08-30,-0.0070745880030198,5.004979541247169e-05,,,,,,
2017-08-31,0.0365880145562922,0.00133868280917145,,,,,,
2017-09-01,0.0230182342096352,0.0005298391061296202,,,,,,
2017-09-02,-0.0779954731948909,0.006083293838894946,,,,,,
2017-09-03,0.008226100308569,6.7668726286639e-05,,,,,,
2017-09-04,-0.09507933895609,0.009040080696327052,,,,,,
2017-09-05,0.0629410997381523,0.003961582036248036,,,,,,
2017-09-06,0.0563900179478143,0.0031798341241548187,,,,,,
2017-09-07,0.0154308868273265,0.0002381122682777585,,,,,,
2017-09-08,-0.0911688058299713,0.00831175115646301,,,,,,
2017-09-09,-0.0056172227671496,3.155319161578381e-05,,,,,,
2017-09-10,-0.0306227871969629,0.0009377550957104749,,,,,,
2017-09-11,0.0187321698756637,0.00035089418825072266,,,,,,
2017-09-12,-0.0106902557572646,0.00011428156815572891,,,,,,
2017-09-13,-0.054038534727658,0.0029201632355123,,,,,,
2017-09-14,-0.21265671116187,0.045222876802183,,,,,,
2017-09-15,0.148619160083442,0.02208765474390776,,,,,,
2017-09-16,0.0040323994787687,1.6260245556374083e-05,,,,,,
2017-09-17,-0.0040351021851243,1.6282049644394902e-05,,,,,,
2017-09-18,0.0866786630897636,0.007513190635028747,,,,,,
2017-09-19,-0.0314611759096124,0.0009898055896155756,,,,,,
2017-09-20,-0.002571050988374,6.610303184818921e-06,,,,,,
2017-09-21,-0.0772715508777502,0.005970892575052737,,,,,,
2017-09-22,-0.0039190375811486,1.5358855562455068e-05,,,,,,
2017-09-23,0.0499380449547946,0.002493808333907086,,,,,,
2017-09-24,-0.0322553977522766,0.0010404106841575703,,,,,,
2017-09-25,0.0688143501531773,0.004735414787004092,,,,,,
2017-09-26,-0.0098423216382315,9.68712952304e-05,,,,,,
2017-09-27,0.0769758277944597,0.005925278064642315,,,,,,
2017-09-28,-0.004421877536707,1.9553000949633968e-05,,,,,,
2017-09-29,4.5513397116892e-05,2.071469317119913e-09,,,,,,
2017-09-30,0.0476683798156756,0.002272274434251509,,,,,,
2017-10-01,-6.85166935276982e-06,4.6945372919685203e-11,,,,,,
2017-10-02,0.0003470921929977,1.204729904399526e-07,,,,,,
2017-10-03,-0.0161108202726989,0.00025955852985920584,,,,,,
2017-10-04,-0.0238102293831535,0.0005669270232783863,,,,,,
2017-10-05,0.0197253314109176,0.00038908869927053254,,,,,,
2017-10-06,0.0176811438258788,0.000312622846991412,,,,,,
2017-10-07,0.0122840489168912,0.0001508978577925759,,,,,,
2017-10-08,0.0478961673519738,0.002294042847008281,,,,,,
2017-10-09,0.0311790991625713,0.0009721362245894542,,,,,,
2017-10-10,-0.0008129563530729,6.608980320015896e-07,,,,,,
2017-10-11,0.007990055511815,6.384098708188525e-05,,,,,,
2017-10-12,0.118868569386366,0.01412973678796131,,,,,,
2017-10-13,0.039712871383232,0.001577112153501127,,,,,,
2017-10-14,0.0382009249319655,0.0014593106656576634,,,,,,
2017-10-15,-0.0276356579081405,0.0007637295880157687,,,,,,
2017-10-16,0.0087236745710921,7.610249802231892e-05,,,,,,
2017-10-17,-0.0290676051601046,0.0008449256697437396,,,,,,
2017-10-18,-0.014934922770701,0.0002230519181668032,,,,,,
2017-10-19,0.0306991978427096,0.0009424407481858258,,,,,,
2017-10-20,0.0557887956033465,0.003112389714871974,,,,,,
2017-10-21,0.0024860876719667,6.180631912704805e-06,,,,,,
2017-10-22,-0.0125179192147833,0.00015669830146784093,,,,,,
2017-10-23,-0.0057458684370104,3.301500409543234e-05,,,,,,
2017-10-24,-0.0770857292216736,0.005942209649637184,,,,,,
2017-10-25,0.0381455074297072,0.0014550797370698474,,,,,,
2017-10-26,0.0297431150957941,0.0008846528956016548,,,,,,
2017-10-27,-0.0159823187680583,0.0002554345132038286,,,,,,
2017-10-28,-0.0085634206470359,7.333217317808074e-05,,,,,,
2017-10-29,0.0757897300728061,0.005744083184508808,,,,,,
2017-10-30,-0.0080518038875254,6.483154584316914e-05,,,,,,
2017-10-31,0.0544498137473273,0.0029647822171186325,,,,,,
2017-11-01,0.0440383544700609,0.001939376664430733,,,,,,
2017-11-02,0.0386284082799939,0.0014921539262459011,,,,,,
2017-11-03,0.0134504844207086,0.00018091553115172476,,,,,,
2017-11-04,0.0334536206710272,0.0011191447360009786,,,,,,
2017-11-05,-0.0016433030272473,2.7004448393601403e-06,,,,,,
2017-11-06,-0.0538244555182938,0.0028970720118407876,,,,,,
2017-11-07,0.0148204102227751,0.0002196445591713367,,,,,,
2017-11-08,0.0332680968381904,0.0011067662672352143,,,,,,
2017-11-09,-0.0310127273627199,0.0009617892584743955,,,,,,
