"Data","Open","Close","High","Low"
"2015-07-29",2.6521261095,2.8402389504,2.8402389504,2.6256313431
"2015-07-30",2.8693831934,2.7740020346,2.8958779597,2.713064072
"2015-07-31",2.7766515112,2.7819504645,2.8349399971,2.7342598851
"2015-08-03",2.7448577916,2.6547755861,2.7581051748,2.6362292497
"2015-08-04",2.6865693057,2.6971672122,2.7687030813,2.6759713992
"2015-08-05",2.7581051748,2.6521261095,2.7951978476,2.6521261095
"2015-08-06",2.61238396,2.7342598851,2.7528062215,2.5805902404
"2015-08-07",2.7157135486,2.5673428572,2.7951978476,2.5673428572
"2015-08-10",2.5991365768,2.6362292497,2.6574250627,2.5355491376
"2015-08-11",2.5938376235,2.6044355301,2.61238396,2.5090543713
"2015-08-12",2.5964871002,2.6176829132,2.6521261095,2.5620439039
"2015-08-13",2.6256313431,2.5196522778,2.6415282029,2.5196522778
"2015-08-14",2.5461470441,2.4640132685,2.5646933806,2.4640132685
"2015-08-17",2.4375185022,2.4163226891,2.4799101283,2.4163226891
"2015-08-18",2.4004258293,2.3845289695,2.4375185022,2.3368383902
"2015-08-19",2.3712815864,2.3288899603,2.3977763527,2.2864983341
"2015-08-20",2.2891478108,2.3129931005,2.373931063,2.2679519977
"2015-08-21",2.2785499042,2.1990656052,2.2891478108,2.1990656052
"2015-08-24",2.0559938671,2.0559938671,2.164622409,1.9950559045
"2015-08-25",2.1460760726,2.0930865399,2.1805192688,2.0877875867
"2015-08-26",2.1381276427,2.1487255492,2.1540245025,2.0798391568
"2015-08-27",2.1858182221,2.3553847266,2.3553847266,2.1805192688
"2015-08-28",2.2970962407,2.3845289695,2.4878585582,2.2811993809
"2015-08-31",2.3076941472,2.4348690256,2.4613637919,2.2573540912
"2015-09-01",2.3182920537,2.2759004276,2.4083742592,2.2626530444
"2015-09-02",2.3182920537,2.3368383902,2.3421373434,2.2070140351
"2015-09-03",2.3659826331,2.3209415304,2.4401679788,2.2626530444
"2015-09-04",2.2785499042,2.2547046145,2.3209415304,2.2547046145
"2015-09-08",2.3050446706,2.2891478108,2.3288899603,2.273250951
"2015-09-09",2.3341889135,2.2229108949,2.3580342032,2.214962465
"2015-09-10",2.0930865399,2.1116328764,2.1593234558,2.0692412502
"2015-09-11",2.1036844465,2.0294991007,2.1169318296,2.0109527643
"2015-09-14",2.0400970073,2.0453959605,2.0718907269,1.9765095681
"2015-09-15",2.0268496241,2.0268496241,2.08513811,1.9977053812
"2015-09-16",2.0586433437,2.1566739791,2.1831687455,2.0506949138
"2015-09-17",2.1328286894,2.0824886334,2.1487255492,2.0824886334
"2015-09-18",2.0533443904,2.0136022409,2.0559938671,1.9871074746
"2015-09-21",2.0294991007,1.934117942,2.034798054,1.934117942
"2015-09-22",1.9182210822,1.8466852131,1.9182210822,1.804293587
"2015-09-23",1.8440357364,1.8069430636,1.8970252691,1.775149344
"2015-09-24",1.7513040543,1.8440357364,1.8917263158,1.7486545777
"2015-09-25",1.8864273626,1.8069430636,1.9129221289,1.7936956804
"2015-09-28",1.7857472505,1.7062629515,1.7883967272,1.7062629515
"2015-09-29",1.7327577179,1.746005101,1.7989946337,1.7221598113
"2015-09-30",1.9208705588,1.9182210822,1.9235200354,1.8466852131
"2015-10-01",1.9367674186,1.8599325962,1.9765095681,1.8519841663
"2015-10-02",1.8519841663,2.0586433437,2.0745402035,1.8281388767
"2015-10-05",2.0930865399,2.0718907269,2.1566739791,2.0533443904
"2015-10-06",2.0824886334,2.1699213623,2.2096635118,2.0771896801
"2015-10-07",2.2547046145,2.244106708,2.3580342032,2.1911171753
