"Data","Open","Close","High","Low","log_return"
"2015-05-27",3.311845791,3.3250931742,3.3542374172,3.2562067817,0.0128309699290473
"2015-05-28",3.3038973611,3.3568868938,3.3966290433,3.2853510247,0.00951632875705879
"2015-05-29",3.3674848003,3.2668046883,3.3860311368,3.2668046883,-0.0272016771517936
"2015-06-01",3.2932994546,3.2774025948,3.3515879405,3.2456088752,0.00323886921856672
"2015-06-02",3.3250931742,3.4019279966,3.4310722395,3.3038973611,0.0372911118742906
"2015-06-03",3.4337217161,3.3992785199,3.470814389,3.370134277,-0.000779119654019512
"2015-06-05",3.3330416041,3.3277426508,3.3860311368,3.290649978,-0.0212690175917085
"2015-06-08",3.340990034,3.3303921275,3.3833816601,3.3038973611,0.000795861582280469
"2015-06-09",3.340990034,3.4363711928,3.4893607254,3.3303921275,0.0313259757220524
"2015-06-10",3.5238039217,3.4575670058,3.5608965945,3.4231238096,0.0061491354221984
"2015-06-11",3.4787628189,3.4575670058,3.4814122955,3.4045774732,0
"2015-06-12",3.4072269498,3.4496185759,3.4549175292,3.3992785199,-0.00230149698874564
"2015-06-15",3.4363711928,3.441670146,3.4681649124,3.4178248563,-0.00230680609838377
"2015-06-16",3.4549175292,3.5370513048,3.5714945011,3.420474333,0.027336554169235
"2015-06-17",3.5767934543,3.4946596787,3.600638744,3.4761133423,-0.0120574181098975
"2015-06-18",3.5185049684,3.5608965945,3.5608965945,3.4840617722,0.0187763683599677
"2015-06-19",3.5264533983,3.4893607254,3.5608965945,3.470814389,-0.0202938193438439
"2015-06-22",3.5238039217,3.4973091553,3.5423502581,3.4787628189,0.00227531383759131
"2015-06-23",3.5158554918,3.4363711928,3.5582471179,3.4310722395,-0.0175778312481217
"2015-06-24",3.4602164825,3.4973091553,3.5370513048,3.4575670058,0.0175778312481217
"2015-06-25",3.5052575852,3.3383405574,3.5079070619,3.3171447443,-0.0465200156144689
"2015-06-26",3.3542374172,3.499958632,3.499958632,3.3489384639,0.0472773045755771
"2015-06-29",3.4443196227,3.3780827069,3.600638744,3.3436395106,-0.0354428469264598
"2015-06-30",3.4178248563,3.3674848003,3.441670146,3.3515879405,-0.00314218642342858
"2015-07-01",3.39133009,3.2270625388,3.4045774732,3.182021436,-0.0425938229075678
"2015-07-02",3.2721036415,3.2588562584,3.3197942209,3.2217635855,0.00980400009843483
