"Data","Open","Close","High","Low"
1986-04-08,5.4002767373e-10,5.5802861526e-10,5.700292191e-10,5.2502691892e-10
1986-04-09,5.550284643e-10,5.4602801141e-10,5.6102876622e-10,5.4602801141e-10
1986-04-10,5.550284643e-10,5.4602801141e-10,5.550284643e-10,5.4002767373e-10
1986-04-11,5.4602801141e-10,5.550284643e-10,5.700292191e-10,5.4002767373e-10
1986-04-14,5.550284643e-10,5.4902816238e-10,5.550284643e-10,5.4602801141e-10
1986-04-15,5.7602952103e-10,5.4002767373e-10,5.7602952103e-10,5.1002616411e-10
1986-04-16,5.4002767373e-10,5.1002616411e-10,5.4002767373e-10,4.5002307336e-10
1986-04-17,5.1002616411e-10,5.1002616411e-10,5.2502691892e-10,4.9502537354e-10
1986-04-18,5.1002616411e-10,5.2502691892e-10,5.2502691892e-10,5.1002616411e-10
1986-04-22,5.2502691892e-10,5.1452639056e-10,5.4002767373e-10,5.1452639056e-10
1986-04-23,5.1602646604e-10,5.1002616411e-10,5.2502691892e-10,4.8002461874e-10
1986-04-24,5.0102567547e-10,5.2502691892e-10,5.4002767373e-10,4.9502537354e-10
1986-04-25,5.2502691892e-10,6.1503151929e-10,6.1503151929e-10,5.1002616411e-10
1986-04-28,6.1503151929e-10,6.0003076448e-10,7.2003694599e-10,6.0003076448e-10
1986-04-29,5.700292191e-10,6.0003076448e-10,6.6003385523e-10,5.700292191e-10
1986-04-30,6.3003227409e-10,6.4503310043e-10,6.9003536485e-10,6.0003076448e-10
1986-05-02,6.6003385523e-10,6.9003536485e-10,7.0533618482e-10,6.3003227409e-10
1986-05-05,6.9003536485e-10,6.6003385523e-10,6.9003536485e-10,6.4503310043e-10
1986-05-06,6.6003385523e-10,6.0003076448e-10,6.9003536485e-10,5.8503000968e-10
1986-05-07,6.0003076448e-10,6.1503151929e-10,6.3003227409e-10,5.8503000968e-10
1986-05-08,6.9003536485e-10,6.3603257602e-10,7.2003694599e-10,6.0003076448e-10
1986-05-09,6.3603257602e-10,6.6003385523e-10,6.9000532257e-10,6.0003076448e-10
1986-05-12,6.3003227409e-10,6.0000075796e-10,6.6003385523e-10,5.700292191e-10
1986-05-13,6.0003076448e-10,5.700292191e-10,6.3003227409e-10,5.550284643e-10
1986-05-14,6.3003227409e-10,5.700292191e-10,6.3003227409e-10,5.4002767373e-10
1986-05-15,5.6999924835e-10,5.4002767373e-10,5.6999924835e-10,5.2502691892e-10
1986-05-16,5.145992243e-10,5.3068048301e-10,5.427413911e-10,5.145992243e-10
1986-05-19,5.427413911e-10,5.2263982969e-10,5.427413911e-10,4.5228448459e-10
1986-05-20,5.0253831622e-10,5.0655861891e-10,5.427413911e-10,4.6233524133e-10
1986-05-21,5.0655861891e-10,4.4223372785e-10,5.0655861891e-10,4.4223372785e-10
1986-05-22,4.6193323982e-10,4.6233524133e-10,5.0253831622e-10,4.0203065297e-10
1986-05-23,5.2263982969e-10,5.6284290458e-10,5.7892416328e-10,4.6233524133e-10
1986-05-27,5.7490381266e-10,5.9098507137e-10,6.432088446e-10,5.427413911e-10
1986-05-28,5.9098507137e-10,6.2314749294e-10,6.2314749294e-10,5.427413911e-10
1986-05-29,6.2314749294e-10,6.5933026512e-10,6.8345212922e-10,6.1510688754e-10
1986-05-30,6.5933026512e-10,7.035536427e-10,7.1963485348e-10,6.5933026512e-10
1986-06-02,7.035536427e-10,6.5530996243e-10,7.035536427e-10,6.4324905434e-10
1986-06-03,6.5530996243e-10,6.9551303731e-10,7.1159424809e-10,6.4324905434e-10
1986-06-04,6.9149273461e-10,7.1159424809e-10,7.2767545888e-10,6.9149273461e-10
1986-06-05,7.1159424809e-10,7.1561455079e-10,7.2365515618e-10,7.0351343297e-10
1986-06-06,7.1561455079e-10,7.5179732298e-10,7.6385823106e-10,7.1159424809e-10
