,Residuals_LSTM
0,-19.385730997561232
1,87.24276278028705
2,-40.762234212925506
3,69.20319917912009
4,12.885612726144466
5,-119.10317639995111
6,-62.8664258578025
7,52.09775963596255
8,-69.8206980165051
9,233.7840088722984
10,4.95446585213483
11,-25.431768498603322
12,11.385271370832042
13,49.059135459717595
14,54.0064663760209
15,31.222090174289356
16,-90.11092642189438
17,-0.011481882140077834
18,-30.54149019065315
19,-18.369216865746235
20,-4.830405042689036
21,50.523672442098785
22,68.35822713654694
23,18.771407476477485
24,-30.715701942200536
25,123.71463623944925
26,-24.89905177933511
27,-145.1599880698558
28,-18.148358610296196
29,-51.67452543348623
30,-30.874438071593175
31,14.346092309374502
32,-180.70931674896215
33,57.69650615898987
34,-17.623728948678977
35,91.7068143944245
36,-38.15242581692193
37,48.52382317771266
38,-25.63105684946318
39,-132.30000110866393
40,-29.7139479488776
41,57.11272729012992
42,65.73285724195952
43,103.01183724626806
44,6.548311978840848
45,25.98311494944722
46,-19.680803801527198
47,45.65130361950908
48,-17.127429833960182
49,80.61063586367192
50,86.09642135907035
51,70.9614143920599
52,-90.820723397369
53,-4.469408947084681
54,56.68823168608998
55,22.095180173747178
56,35.32148204442727
57,5.988704661774997
58,-9.71845762022432
59,-17.98114113246137
60,-175.51235436817973
61,43.40394189833417
62,-105.11073472715785
63,-27.92091381911905
64,181.90789440271456
65,-28.631207078939976
66,-6.967743745954373
67,26.866207990714138
68,-176.6139125886465
69,68.76221224742234
70,-105.6235581584774
71,-73.70033799477228
72,-12.291967688021293
73,21.374292722968562
74,41.38391973044062
75,-17.16436716435818
76,1.6197282113693747
77,43.63957989291676
78,21.53478603715407
79,-56.376925384676426
80,-3.111590123824038
81,-34.93019417716807
82,19.87122669478128
83,111.73854418798919
84,52.565106452394865
85,112.99215371387947
86,-114.86879880813262
87,99.66227503263372
88,-4.27274591890774
89,17.462851161114454
90,222.07672866022762
91,45.39185825659654
92,14.268577163011846
93,48.548102290111835
94,-1.0052943388509847
95,-5.871487665696194
96,33.62057148146859
97,-17.362980615854894
98,-32.561728680980366
99,15.833558922768503
100,34.3944075567029
101,-64.79068850180687
102,-70.0528759123225
103,3.0030357850513254
104,-2.9267427435984574
105,12.590146124355263
106,34.77988205781628
107,2.7893673142198994
108,-24.022923188169564
109,-8.6686855173729
110,64.52854235362473
111,12.131956649548275
112,-130.76610039846176
113,-2.2710400008179397
114,15.620809276921806
115,-21.02891320331082
116,102.01098512581439
117,116.34917928243686
118,82.75789027709759
119,158.5500026777714
120,7.1764456543877975
121,19.15386793346427
122,-20.3245027201241
123,29.85094481525988
124,6.2860037478986
125,21.561512687754366
126,123.55568360377488
127,106.16558300277033
128,1.202407769198599
129,-160.19240990014765
130,-19.3922851270365
131,57.61073762834127
132,-42.864038752767165
133,-37.76720879219337
134,42.97910306394204
135,-35.70471556287743
136,-22.39312822069761
137,8.14232792808296
138,33.256341535197556
139,95.53954193853917
140,-65.2282275071237
141,-42.84119987266221
142,36.653993046923134
143,-11.143444217503454
144,16.882677329295237
145,72.23045383466079
146,-10.09958786125346
147,43.644805299887345
148,-77.5793697398198
149,55.183188313277064
150,59.60941505398322
151,-39.873117626039594
152,-0.8776733184130595
153,-228.09866410337926
154,47.7267851053003
155,6.658341609173739
156,71.7034666683424
157,-85.16942740289605
158,-37.02030239637339
159,-38.998667942593926
160,-12.652062754564472
161,-39.042323507097294
162,27.403482652275805
163,51.258082336730524
164,-7.000300776241617
165,21.56901393037419
166,19.795718131452354
167,-6.881337998413908
168,-42.884234462275494
169,41.29407190467092
170,45.06015856132688
171,32.01140902720884
172,-35.52041557057248
173,-25.05272129024278
174,-24.612965082523637
175,-2.332323915835902
176,127.33160848365418
177,16.209208298374627
178,-24.920897143866
179,-9.687035861712387
180,69.38144482342474
181,-40.7129652731523
182,-59.95455900520003
183,92.92702589703411
184,15.665872985168793
185,-140.10226219879638
186,-47.58588227377321
187,-5.025073841608648
188,0.0
189,20.365226331483477
190,2.094420306613673
191,-31.557546667333092
192,27.87989719857204
193,192.82948509860546
194,-7.3200815407832724
195,117.77847635039058
196,-101.38932211264554
197,28.299535946496245
198,112.34926859220175
199,28.6756625151023
200,48.404804063670724
201,37.1077594828308
202,-49.52265913887172
