Proxy Values,Predicted Values,Date,Squared_Returns
0.0396120107693622,0.00022988301,2016-03-03,227.581528233941
0.0317609998512592,0.0029305131,2016-03-07,4.22809752095095
0.0904445686776254,0.0016394798,2016-03-29,0.348887309688165
0.0391955620259113,0.006334982,2016-04-01,0.359820720824522
0.0494257953051848,0.047192574,2016-05-06,7.37176405238503
0.1750841089573568,0.0056728376,2016-06-02,2.87974864316664
0.1601939654100654,0.052761905,2016-06-17,26.6123510494529
0.0462983162714754,0.0022876621,2016-06-29,10.29662636861
0.0352882163415424,0.0031259647,2016-08-22,12.2551362645015
0.027617896405118,0.002654273,2016-08-24,4.63994271581948
0.0303091501781028,0.010397828,2016-12-13,0.933467800879848
0.065241230710289,0.006886605,2016-12-15,0.552802342019802
0.0317594594232789,0.00468017,2016-12-26,1.57788171124815
0.0335465151067359,0.0065260525,2016-12-28,6.42765061599858
0.4241039788448809,0.19407752,2017-02-20,3.86683638711925
0.0556374815235248,0.0037057828,2017-02-21,1.12824911160446
0.0123584064910601,0.012485299,2016-03-14,79.4754100088562
0.0054342502638033,0.011243372,2016-07-12,7.62179886109415
0.0093921299834868,0.018580083,2016-07-25,0.563897755543719
0.0010466010864673,0.010108579,2016-09-19,0.704523247713464
0.0008716949132433,0.010553212,2016-11-01,23.0933861829419
0.0040091655180294,0.01003778,2016-12-02,6.22248773169226
0.0003080176057129,0.023209836,2016-12-19,7.5483493415809
0.0077423913635348,0.010894559,2017-02-14,1.61876567286698
0.0002896298394281,0.025460154,2017-02-22,6.0207599233286
0.0065926497930483,0.014861494,2017-03-29,12.4009558741375
0.0094693352383846,0.010652654,2017-04-03,1.52417853028773
0.005028312929276,0.010036896,2017-04-13,15.7489115726608
