"Date","Returns","garch_sigma","msgarch_sigma","gas_sigma","Returns_sq"
"2017-08-18",-0.042112865483654,0,0,0,17.7349343924434
"2017-08-19",0.00766460073757358,0,0,0,0.587461044664135
"2017-08-20",-0.013053488973032,0,0,0,1.70393574369068
"2017-08-21",-0.0173510855452204,0,0,0,3.01060169597556
"2017-08-22",0.0059583095836313,0,0,0,0.355014530943926
"2017-08-23",0.0181535299791076,0,0,0,3.29550650702358
"2017-08-24",0.0479331424011864,0,0,0,22.9758614045241
"2017-08-25",-0.00821948887482726,0,0,0,0.675599973634091
"2017-08-26",0.0131724368457515,0,0,0,1.73513092455312
"2017-08-27",-0.0063440880256973,0,0,0,0.402474528777959
"2017-08-28",0.0176347320652699,0,0,0,3.10983775013858
"2017-08-29",0.0447558973343103,0,0,0,20.0309034619932
"2017-08-30",-0.00707458800301985,0,0,0,0.500497954124724
"2017-08-31",0.0365880145562922,0,0,0,13.3868280917145
"2017-09-01",0.0230182342096352,0,0,0,5.2983910612962
"2017-09-02",-0.0779954731948909,0,0,0,60.8329383889494
"2017-09-03",0.00822610030856907,0,0,0,0.676687262866401
"2017-09-04",-0.09507933895609,0,0,0,90.4008069632705
"2017-09-05",0.0629410997381523,0,0,0,39.6158203624804
"2017-09-06",0.0563900179478143,0,0,0,31.7983412415482
"2017-09-07",0.0154308868273265,0,0,0,2.38112268277759
"2017-09-08",-0.0911688058299713,0,0,0,83.1175115646301
"2017-09-09",-0.0056172227671496,0,0,0,0.315531916157838
"2017-09-10",-0.0306227871969629,0,0,0,9.37755095710475
"2017-09-11",0.0187321698756637,0,0,0,3.50894188250723
"2017-09-12",-0.0106902557572646,0,0,0,1.14281568155729
"2017-09-13",-0.054038534727658,0,0,0,29.201632355123
"2017-09-14",-0.21265671116187,0,0,0,452.22876802183
"2017-09-15",0.148619160083442,0,0,0,220.876547439078
"2017-09-16",0.00403239947876877,0,0,0,0.162602455563746
"2017-09-17",-0.00403510218512437,0,0,0,0.162820496443955
"2017-09-18",0.0866786630897636,0,0,0,75.1319063502875
"2017-09-19",-0.0314611759096124,0,0,0,9.89805589615576
"2017-09-20",-0.00257105098837407,0,0,0,0.0661030318481928
"2017-09-21",-0.0772715508777502,0,0,0,59.7089257505274
"2017-09-22",-0.00391903758114864,0,0,0,0.153588555624554
"2017-09-23",0.0499380449547946,0,0,0,24.9380833390709
"2017-09-24",-0.0322553977522766,0,0,0,10.4041068415757
"2017-09-25",0.0688143501531773,0,0,0,47.3541478700409
"2017-09-26",-0.00984232163823151,0,0,0,0.968712952304002
"2017-09-27",0.0769758277944597,0,0,0,59.2527806464231
"2017-09-28",-0.00442187753670709,0,0,0,0.195530009496348
"2017-09-29",4.5513397116892e-05,0,0,0,2.07146931711991e-05
"2017-09-30",0.0476683798156756,0,0,0,22.7227443425151
"2017-10-01",-6.85166935276982e-06,0,0,0,4.69453729196852e-07
"2017-10-02",0.000347092192997778,0,0,0,0.00120472990440007
"2017-10-03",-0.0161108202726989,0,0,0,2.59558529859206
"2017-10-04",-0.0238102293831535,0,0,0,5.66927023278386
"2017-10-05",0.0197253314109176,0,0,0,3.89088699270532
"2017-10-06",0.0176811438258788,0,0,0,3.12622846991412
"2017-10-07",0.0122840489168912,0,0,0,1.50897857792576
"2017-10-08",0.0478961673519738,0,0,0,22.9404284700828
"2017-10-09",0.0311790991625713,0,0,0,9.72136224589454
"2017-10-10",-0.000812956353072991,0,0,0,0.00660898032001737
"2017-10-11",0.00799005551181509,0,0,0,0.638409870818867
"2017-10-12",0.118868569386366,0,0,0,141.297367879613
"2017-10-13",0.039712871383232,0,0,0,15.7711215350113
"2017-10-14",0.0382009249319655,0,0,0,14.5931066565766
"2017-10-15",-0.0276356579081405,0,0,0,7.63729588015769
"2017-10-16",0.00872367457109213,0,0,0,0.761024980223195
"2017-10-17",-0.0290676051601046,0,0,0,8.4492566974374
"2017-10-18",-0.014934922770701,0,0,0,2.23051918166803
"2017-10-19",0.0306991978427096,0,0,0,9.42440748185826
"2017-10-20",0.0557887956033465,0,0,0,31.1238971487197
"2017-10-21",0.00248608767196679,0,0,0,0.0618063191270525
"2017-10-22",-0.0125179192147833,0,0,0,1.56698301467841
"2017-10-23",-0.00574586843701042,0,0,0,0.330150040954326
"2017-10-24",-0.0770857292216736,0,0,0,59.4220964963718
"2017-10-25",0.0381455074297072,0,0,0,14.5507973706985
"2017-10-26",0.0297431150957941,0,0,0,8.84652895601655
"2017-10-27",-0.0159823187680583,0,0,0,2.55434513203829
"2017-10-28",-0.00856342064703597,0,0,0,0.733321731780819
"2017-10-29",0.0757897300728061,0,0,0,57.4408318450881
"2017-10-30",-0.00805180388752547,0,0,0,0.648315458431703
"2017-10-31",0.0544498137473273,0,0,0,29.6478221711863
"2017-11-01",0.0440383544700609,0,0,0,19.3937666443073
"2017-11-02",0.0386284082799939,0,0,0,14.921539262459
"2017-11-03",0.0134504844207086,0,0,0,1.80915531151725
"2017-11-04",0.0334536206710272,0,0,0,11.1914473600098
"2017-11-05",-0.00164330302724736,0,0,0,0.0270044483936034
"2017-11-06",-0.0538244555182938,0,0,0,28.9707201184079
"2017-11-07",0.0148204102227751,0,0,0,2.19644559171337
"2017-11-08",0.0332680968381904,0,0,0,11.0676626723521
"2017-11-09",-0.0310127273627199,0,0,0,9.61789258474396
"2017-11-10",-0.0843970483801613,0,0,0,71.2286177528329
"2017-11-11",-0.0410862969444779,0,0,0,16.8808379660981
"2017-11-12",-0.0720313142483597,0,0,0,51.8851023234595
