"Date","Returns"
2017-08-18,-0.042112865483654
2017-08-19,0.00766460073757358
2017-08-20,-0.013053488973032
2017-08-21,-0.0173510855452204
2017-08-22,0.0059583095836313
2017-08-23,0.0181535299791076
2017-08-24,0.0479331424011864
2017-08-25,-0.00821948887482726
2017-08-26,0.0131724368457515
2017-08-27,-0.0063440880256973
2017-08-28,0.0176347320652699
2017-08-29,0.0447558973343103
2017-08-30,-0.00707458800301985
2017-08-31,0.0365880145562922
2017-09-01,0.0230182342096352
2017-09-02,-0.0779954731948909
2017-09-03,0.00822610030856907
2017-09-04,-0.09507933895609
2017-09-05,0.0629410997381523
2017-09-06,0.0563900179478143
2017-09-07,0.0154308868273265
2017-09-08,-0.0911688058299713
2017-09-09,-0.0056172227671496
2017-09-10,-0.0306227871969629
2017-09-11,0.0187321698756637
2017-09-12,-0.0106902557572646
2017-09-13,-0.054038534727658
2017-09-14,-0.21265671116187
2017-09-15,0.148619160083442
2017-09-16,0.00403239947876877
2017-09-17,-0.00403510218512437
2017-09-18,0.0866786630897636
2017-09-19,-0.0314611759096124
2017-09-20,-0.00257105098837407
2017-09-21,-0.0772715508777502
2017-09-22,-0.00391903758114864
2017-09-23,0.0499380449547946
2017-09-24,-0.0322553977522766
2017-09-25,0.0688143501531773
2017-09-26,-0.00984232163823151
2017-09-27,0.0769758277944597
2017-09-28,-0.00442187753670709
2017-09-29,4.5513397116892e-05
2017-09-30,0.0476683798156756
2017-10-01,-6.85166935276982e-06
2017-10-02,0.000347092192997778
2017-10-03,-0.0161108202726989
2017-10-04,-0.0238102293831535
2017-10-05,0.0197253314109176
2017-10-06,0.0176811438258788
2017-10-07,0.0122840489168912
2017-10-08,0.0478961673519738
2017-10-09,0.0311790991625713
2017-10-10,-0.000812956353072991
2017-10-11,0.00799005551181509
2017-10-12,0.118868569386366
2017-10-13,0.039712871383232
2017-10-14,0.0382009249319655
2017-10-15,-0.0276356579081405
2017-10-16,0.00872367457109213
2017-10-17,-0.0290676051601046
2017-10-18,-0.014934922770701
2017-10-19,0.0306991978427096
2017-10-20,0.0557887956033465
2017-10-21,0.00248608767196679
2017-10-22,-0.0125179192147833
2017-10-23,-0.00574586843701042
2017-10-24,-0.0770857292216736
2017-10-25,0.0381455074297072
2017-10-26,0.0297431150957941
2017-10-27,-0.0159823187680583
2017-10-28,-0.00856342064703597
2017-10-29,0.0757897300728061
2017-10-30,-0.00805180388752547
2017-10-31,0.0544498137473273
2017-11-01,0.0440383544700609
2017-11-02,0.0386284082799939
2017-11-03,0.0134504844207086
2017-11-04,0.0334536206710272
2017-11-05,-0.00164330302724736
2017-11-06,-0.0538244555182938
2017-11-07,0.0148204102227751
2017-11-08,0.0332680968381904
2017-11-09,-0.0310127273627199
2017-11-10,-0.0843970483801613
2017-11-11,-0.0410862969444779
2017-11-12,-0.0720313142483597
2017-11-13,0.1067982970486
2017-11-14,0.0167169243992689
2017-11-15,0.0963564365059799
2017-11-16,0.0827294680424568
2017-11-17,-0.0212438331774791
2017-11-18,0.00811717442925364
2017-11-19,0.0349479930766741
2017-11-20,0.0214162031296787
2017-11-21,-0.0113266916315098
2017-11-22,0.0105860374831224
2017-11-23,-0.0229186700134481
2017-11-24,0.0146072745846464
2017-11-25,0.0667797255056666
2017-11-26,0.0480246285326817
2017-11-27,0.0556091117330482
2017-11-28,0.0252535572155903
2017-11-29,-0.0213358528498802
2017-11-30,0.0154743947049525
2017-12-01,0.0916198780922475
2017-12-02,0.00987596270428881
2017-12-03,0.0249747512985863
2017-12-04,0.0363725061134552
2017-12-05,0.0103948744723557
2017-12-06,0.146802250253311
2017-12-07,0.202952215228281
2017-12-08,-0.0442819967650934
2017-12-09,-0.0802058716977481
2017-12-10,0.0165052865473925
2017-12-11,0.107317863177574
2017-12-12,-0.0144504481239274
2017-12-13,-0.0195600999850303
2017-12-14,0.018641634950173
2017-12-15,0.0711654740773753
2017-12-16,0.0853532976067424
2017-12-17,-0.0127832547214055
2017-12-18,-0.000199913724900469
2017-12-19,-0.0864154175671175
2017-12-20,-0.0477367273698537
2017-12-21,-0.0623272065443405
2017-12-22,-0.150602284174882
2017-12-23,-0.00199875304133279
2017-12-24,0.014925650216675
2017-12-25,0.014657971046752
2017-12-26,0.135612810748734
2017-12-27,-0.014705070911333
2017-12-28,-0.0862740851659947
2017-12-29,0.013780543072329
2017-12-30,-0.14484396306564
2017-12-31,0.0976713898061643
2018-01-01,-0.0248282262753126
2018-01-02,0.0923918067270399
2018-01-03,0.0165168909861304
2018-01-04,0.00934192500328912
2018-01-05,0.118868947965845
2018-01-06,0.00642960906357715
2018-01-07,-0.0553883271938851
2018-01-08,-0.0803902390303346
2018-01-09,-0.0343034616397908
2018-01-10,0.0346087321201924
2018-01-11,-0.118686537454003
2018-01-12,0.0371616133478323
2018-01-13,0.0336339275130335
2018-01-14,-0.0531105674292522
2018-01-15,0.00480772292394782
2018-01-16,-0.216880308368607
2018-01-17,0.00811287302797936
2018-01-18,-0.00244365236977195
2018-01-19,0.0457370031323947
2018-01-20,0.109271470388885
2018-01-21,-0.104488149133617
2018-01-22,-0.0691121327179776
2018-01-23,0.00363000375873845
2018-01-24,0.0497466575480257
2018-01-25,-0.0155135615881701
2018-01-26,-0.00774967531050486
2018-01-27,0.035610494304418
2018-01-28,0.0332879848959351
2018-01-29,-0.0543950915824976
2018-01-30,-0.0943985876092466
2018-01-31,0.00463781997538781
2018-02-01,-0.10883108990255
2018-02-02,-0.0388488171614263
2018-02-03,0.0361827973283564
2018-02-04,-0.116919138860657
