"Index","V1"
"2016-01-29",4.69352527798567
"2016-02-01",4.72557650614749
"2016-02-02",4.62434674539438
"2016-02-03",5.00824170506415
"2016-02-04",4.97197762565697
"2016-02-05",4.98910487722896
"2016-02-10",4.91178234397773
"2016-02-11",4.91901189198561
"2016-02-12",4.77275510533188
"2016-02-15",4.78421477116175
"2016-02-16",4.66987868088237
"2016-02-17",4.57638532664401
"2016-02-18",4.6159927780765
"2016-02-19",4.58725596374645
"2016-02-22",4.17190792062931
"2016-02-23",5.15948954886374
"2016-02-24",5.03464982200256
"2016-02-25",4.88251034921936
"2016-02-26",4.75725594246147
"2016-02-29",4.63995844214879
"2016-03-01",4.68027627650263
"2016-03-02",4.61911995602568
"2016-03-03",4.709659358655
"2016-03-04",5.84052769793048
"2016-03-07",5.89688122386527
"2016-03-08",5.70723693572694
"2016-03-09",5.52325700031905
"2016-03-10",5.53828183681677
"2016-03-11",5.3442622035678
"2016-03-14",5.21486527606498
"2016-03-15",5.45829592185267
"2016-03-16",5.93093069919235
"2016-03-17",6.19280233275368
"2016-03-18",6.67311053361626
"2016-03-21",6.39190575942015
"2016-03-22",6.15579122874467
"2016-03-23",5.94325028599992
"2016-03-24",5.85910226824849
"2016-03-28",5.68825523782404
"2016-03-29",5.82554757491467
"2016-03-30",5.65816297847006
"2016-03-31",5.51724734916766
"2016-04-01",5.39164845714322
"2016-04-04",5.2744272323402
"2016-04-05",5.58312414022308
"2016-04-06",5.50846565489888
"2016-04-07",5.43943644103891
"2016-04-08",5.15190533303752
"2016-04-11",5.45681601934969
"2016-04-12",5.12285346433915
"2016-04-13",5.28879094546862
"2016-04-14",5.25758063778769
"2016-04-15",5.16214330628986
"2016-04-18",5.18468077352788
"2016-04-19",5.15349893535991
"2016-04-20",5.08038554253749
"2016-04-22",5.23417472011863
"2016-04-25",4.82098383396188
"2016-04-26",4.79291726630625
"2016-04-27",4.72186112916939
"2016-04-28",4.79247174788524
"2016-04-29",4.64331918490917
"2016-05-02",4.49605489649255
"2016-05-03",4.35314673940016
"2016-05-04",4.32721575596609
"2016-05-05",4.20264980599655
"2016-05-06",4.07386044752092
"2016-05-09",4.00184447048113
"2016-05-10",4.18960866269277
"2016-05-11",4.45534899095742
"2016-05-12",4.32788892844174
"2016-05-13",4.34399422451486
"2016-05-16",4.29740615558844
"2016-05-17",4.23491480975649
"2016-05-18",4.16011924966909
"2016-05-19",4.07045712318043
"2016-05-20",4.06763677943014
"2016-05-23",3.95594077059261
"2016-05-24",4.00492222383207
"2016-05-25",3.89791351632999
"2016-05-27",3.82072630748625
"2016-05-30",3.92007099425633
"2016-05-31",3.84025038225899
"2016-06-01",3.86715282654584
"2016-06-02",3.78668714275348
"2016-06-03",3.7053227883394
"2016-06-06",3.67790654814639
"2016-06-07",3.59121558453559
"2016-06-08",3.52172816649066
"2016-06-09",4.01381908839006
"2016-06-10",3.93923487694898
"2016-06-13",3.97821093429489
"2016-06-14",3.89690001781796
"2016-06-15",3.90216242874169
"2016-06-16",3.84516214046745
"2016-06-17",3.90213578355391
"2016-06-20",3.95481966516421
"2016-06-21",3.9189719399704
"2016-06-22",3.90447314206425
"2016-06-23",3.82117218544434
"2016-06-24",3.80797953631885
"2016-06-27",3.83228053079299
"2016-06-28",3.90791428947141
"2016-06-29",3.95084610333004
"2016-06-30",3.91978636807442
"2016-07-01",3.84222331950374
"2016-07-04",3.85346066017447
"2016-07-05",3.77476212269809
"2016-07-06",3.90553296467575
"2016-07-07",3.84819980490934
"2016-07-08",3.77021416604415
"2016-07-11",3.73421069562192
"2016-07-12",3.80443283811967
"2016-07-13",3.75550859417388
"2016-07-14",3.67986437824835
"2016-07-15",3.64752508724408
"2016-07-18",3.56805647316118
"2016-07-19",3.63104955650473
"2016-07-20",3.56884418449698
"2016-07-21",3.49031092653297
"2016-07-22",3.42932775359434
"2016-07-25",3.36147184142151
"2016-07-26",3.30186800334409
"2016-07-27",3.24653682430257
"2016-07-28",3.23135214053478
"2016-07-29",3.16874774948765
"2016-08-01",3.19246738400407
"2016-08-02",3.31640364874698
"2016-08-03",3.26634553291263
"2016-08-04",3.34015904036681
"2016-08-05",3.28386346384363
"2016-08-08",3.27043375483532
"2016-08-09",3.23395560392284
"2016-08-10",3.16745598320601
"2016-08-11",3.1502846300554
"2016-08-12",3.21444738897586
"2016-08-15",3.16075687665763
"2016-08-16",3.1386971692449
"2016-08-17",3.08752828450271
"2016-08-18",3.04676586567496
"2016-08-19",2.97776148051101
"2016-08-22",2.89872285599585
"2016-08-23",2.95373498569282
"2016-08-24",2.9375954706392
"2016-08-25",2.89218358273219
"2016-08-26",2.80741616236681
"2016-08-29",2.93174165012915
"2016-08-30",2.92821995787029
"2016-08-31",2.88542425328092
"2016-09-01",2.85468373737083
"2016-09-02",2.79509934107786
"2016-09-05",2.94284935660786
"2016-09-06",2.90502578082295
"2016-09-08",2.84335860293692
"2016-09-09",2.80433443607846
"2016-09-12",3.04144615079708
"2016-09-13",3.07306254025295
"2016-09-14",3.19821426218757
"2016-09-15",3.12141370377055
"2016-09-16",3.12188200377707
"2016-09-19",3.10538020291051
"2016-09-20",3.03605639257166
"2016-09-21",3.06904550582403
"2016-09-22",3.00497804570676
"2016-09-23",2.99529240997875
"2016-09-26",2.96728848827218
"2016-09-27",2.95070951775909
"2016-09-28",2.91343775760214
"2016-09-29",3.31355341751607
"2016-09-30",3.31662678236795
"2016-10-03",3.04518637051809
"2016-10-04",3.05178285646852
"2016-10-05",3.17713381820262
"2016-10-06",3.24478734476939
