"Date","Adjusted","Log_Returns"
"2017-01-23",4.75847291946411,-0.062500249345776
"2017-01-24",4.77335119247437,0.312181276507317
"2017-01-26",4.70193004608154,-1.50755417719399
"2017-01-27",4.64836311340332,-1.14579335223886
"2017-01-30",4.41624212265015,-5.12260030327811
"2017-01-31",4.46980905532837,1.20565548138649
"2017-02-01",4.46980905532837,0
"2017-02-02",4.43112182617188,-0.869290488671037
"2017-02-03",4.56503820419312,2.97740970503768
"2017-02-06",4.45195293426514,-2.50840214088097
"2017-02-07",4.37457990646362,-1.75323677196779
"2017-02-08",4.49361658096313,2.68473583161324
"2017-02-09",4.47873640060425,-0.331689892982756
"2017-02-10",4.6364598274231,3.46101535962033
"2017-02-13",4.64836311340332,0.256403220122925
"2017-02-14",4.70788240432739,1.27230722424538
"2017-02-15",4.71383380889893,0.126333785234034
"2017-02-16",4.7197847366333,0.126164281394447
"2017-02-17",4.64538860321045,-1.58881626050453
"2017-02-20",4.73764085769653,1.96642731549357
"2017-02-21",4.78823184967041,1.06219071338647
"2017-02-22",4.6721715927124,-2.45372368520349
"2017-02-23",4.63050889968872,-0.89571971459097
"2017-02-24",4.51742362976074,-2.47249376774004
"2017-03-01",4.61860466003418,2.21507999179318
"2017-03-02",4.49659252166748,-2.67727453031639
"2017-03-03",4.55908584594727,1.38022385138965
"2017-03-06",4.49361658096313,-1.44642789134182
"2017-03-07",4.51742362976074,0.528398578475375
"2017-03-08",4.32994079589844,-4.23879690021198
"2017-03-09",4.31506156921387,-0.344227583717882
"2017-03-10",4.25852108001709,-1.31896573905133
"2017-03-13",4.27637529373169,0.418382109790794
"2017-03-14",4.04425477981567,-5.58084556821232
"2017-03-15",4.22578525543213,4.39078017069741
"2017-03-16",4.07996511459351,-3.5116664778531
"2017-03-17",3.91629004478455,-4.09436495146942
"2017-03-20",4.0472297668457,3.28878503717778
"2017-03-21",3.86867666244507,-4.51201380162356
"2017-03-22",4.06508588790894,4.95223705378169
"2017-03-23",4.03830289840698,-0.661034234820534
"2017-03-24",4.01151895523071,-0.665456764217542
"2017-03-27",4.0978217124939,2.12855814672086
"2017-03-28",4.15138721466064,1.29870040899522
"2017-03-29",4.30018281936646,3.52149909472337
"2017-03-30",4.30018281936646,0
"2017-03-31",4.312087059021,0.276448541535035
"2017-04-03",4.3656530380249,1.23457625535555
"2017-04-04",4.41921901702881,1.21952016012834
"2017-04-05",4.3358941078186,-1.90351452870752
"2017-04-06",4.32398986816406,-0.274928559916243
"2017-04-07",4.37457990646362,1.16319372080678
"2017-04-10",4.44600248336792,1.61948802846479
"2017-04-11",4.36862802505493,-1.75563673668948
"2017-04-12",4.35970115661621,-0.20454937859129
"2017-04-13",4.1900749206543,-3.96848983527245
"2017-04-17",4.24959182739258,1.41043231120181
"2017-04-18",4.19602632522583,-1.26849733102083
"2017-04-19",4.0472297668457,-3.610532550854
"2017-04-20",4.13055562973022,2.03792940756793
"2017-04-24",4.17519474029541,1.07490686295868
"2017-04-25",4.26744747161865,2.18548650782753
"2017-04-26",4.16626787185669,-2.39952263702281
"2017-04-27",4.08591794967651,-1.94742249541306
"2017-04-28",4.15733909606934,1.73288138969945
"2017-05-02",4.16329145431519,0.143074715917213
"2017-05-03",4.21388101577759,1.20781031175794
"2017-05-04",4.0472297668457,-4.03514406329286
"2017-05-05",4.22876167297363,4.38765626010502
"2017-05-08",4.1900749206543,-0.919058689432006
"2017-05-09",4.2079291343689,0.425202000319969
"2017-05-10",4.3835072517395,4.08785117696708
"2017-05-11",4.41029071807861,0.609146338129696
"2017-05-12",4.59777402877808,4.16316698342316
"2017-05-15",4.66621875762939,1.47767762457365
"2017-05-16",4.6721715927124,0.127491691094495
"2017-05-17",4.64538860321045,-0.574894343676546
"2017-05-18",3.91331481933594,-17.1490234590712
"2017-05-19",4.05318212509155,3.51174877929563
"2017-05-22",3.987713098526,-1.62843741895371
"2017-05-23",4.01449584960938,0.669386447249432
"2017-05-24",4.1811466217041,4.06737475405141
"2017-05-25",4.0888934135437,-2.23111459213914
"2017-05-26",4.07103824615479,-0.437631015320128
"2017-05-29",4.07103824615479,0
"2017-05-30",3.97580909729004,-2.366979037646
"2017-05-31",3.85677361488342,-3.03972909895915
"2017-06-01",3.81511068344116,-1.08613058788765
"2017-06-02",3.88355588912964,1.77815231937903
"2017-06-05",3.92224335670471,0.99125747765807
"2017-06-06",3.92224335670471,0
"2017-06-07",3.82998919487,-2.38017929776755
"2017-06-08",3.82106184959412,-0.233362691619399
"2017-06-09",3.82403755187988,0.0778460103594947
"2017-06-12",3.83891749382019,0.388360901341356
"2017-06-13",3.85082054138184,0.309582901625038
"2017-06-14",3.75559186935425,-2.50403587621846
"2017-06-15",3.75559186935425,0
"2017-06-16",3.65441131591797,-2.73108769072736
"2017-06-19",3.65738582611084,0.081361949714398
"2017-06-20",3.52942323684692,-3.56141684499955
"2017-06-21",3.46395397186279,-1.87237655571331
"2017-06-22",3.58298897743225,3.37866589230644
"2017-06-23",3.55025434494019,-0.917811458362938
"2017-06-26",3.65143513679504,2.81010310963503
"2017-06-27",3.63357949256897,-0.490202995883049
"2017-06-28",3.59489274024963,-1.07040936062042
"2017-06-29",3.62465262413025,0.824430097454054
"2017-06-30",3.68119549751282,1.54791069899829
"2017-07-03",3.67821836471558,-0.0809067954425036
"2017-07-04",3.69904947280884,0.564739248078361
"2017-07-05",3.63357949256897,-1.78576388846778
"2017-07-06",3.62167525291443,-0.328155268279273
"2017-07-07",3.55025434494019,-1.99174484547271
"2017-07-10",3.56513381004333,0.418234015300345
"2017-07-11",3.66929030418396,2.87966782242004
"2017-07-12",3.85082054138184,4.82879874628039
"2017-07-13",3.82998919487,-0.54242712170649
"2017-07-14",3.88355588912964,1.38892182010948
"2017-07-17",3.83594179153442,-1.23362175619408
"2017-07-18",3.85082054138184,0.387127057791092
"2017-07-19",3.9371223449707,2.21638339405983
"2017-07-20",3.89843535423279,-0.987480574896082
"2017-07-21",3.77642369270325,-3.17978326719237
"2017-07-24",3.83296608924866,1.48614905644293
"2017-07-25",3.93414640426636,2.60549950833908
"2017-07-26",3.88653182983398,-1.21767348904485
"2017-07-27",3.86867666244507,-0.460469862432178
"2017-07-28",3.90736293792725,0.995020515656719
