"Index","V1"
"2016-01-29",3.9764849220844
"2016-02-01",4.04093477823864
"2016-02-02",3.93227102376161
"2016-02-03",4.28505609392966
"2016-02-04",4.27559975925
"2016-02-05",4.32842104705104
"2016-02-10",4.28925555522996
"2016-02-11",4.33012424697942
"2016-02-12",4.17578725412837
"2016-02-15",4.22538269457133
"2016-02-16",4.11310638337989
"2016-02-17",4.01534730428137
"2016-02-18",4.08804664370945
"2016-02-19",3.9506881968444
"2016-02-22",3.86189162781657
"2016-02-23",4.38944746467723
"2016-02-24",4.25494145360134
"2016-02-25",4.08858792540071
"2016-02-26",3.91187681890173
"2016-02-29",3.74301455024567
"2016-03-01",3.85038020973573
"2016-03-02",3.79787093107834
"2016-03-03",3.98191864882449
"2016-03-04",4.74828178139669
"2016-03-07",4.98654850871488
"2016-03-08",4.90406073470406
"2016-03-09",4.62514733335911
"2016-03-10",4.65020544083385
"2016-03-11",4.63148302102306
"2016-03-14",4.49663130475891
"2016-03-15",4.7936754614765
"2016-03-16",5.20380721686714
"2016-03-17",5.45901558973333
"2016-03-18",5.87736556865917
"2016-03-21",5.37193725765501
"2016-03-22",5.42931781249385
"2016-03-23",5.25502951693641
"2016-03-24",5.16710307319127
"2016-03-28",4.96998948451454
"2016-03-29",4.76816860665229
"2016-03-30",4.77910831024244
"2016-03-31",4.59203940272329
"2016-04-01",4.38070367941732
"2016-04-04",4.2335830085757
"2016-04-05",4.83528790489242
"2016-04-06",4.60575269640437
"2016-04-07",4.42225619206199
"2016-04-08",4.25290292958121
"2016-04-11",4.44228633085244
"2016-04-12",4.27926827318876
"2016-04-13",4.49063670583828
"2016-04-14",4.50659476367617
"2016-04-15",4.42427089923994
"2016-04-18",4.49094398887779
"2016-04-19",4.48776211066763
"2016-04-20",4.44210312672598
"2016-04-22",4.11507522989044
"2016-04-25",4.01834991591032
"2016-04-26",4.18101942867891
"2016-04-27",4.13168972652169
"2016-04-28",4.23503384103671
"2016-04-29",4.0708775129908
"2016-05-02",3.90962220261001
"2016-05-03",3.75173539019749
"2016-05-04",3.74551321433721
"2016-05-05",3.6166295695389
"2016-05-06",3.47445747125969
"2016-05-09",3.41799628646816
"2016-05-10",3.60983291980618
"2016-05-11",3.87380959139912
"2016-05-12",3.72059408262329
"2016-05-13",3.76411143660889
"2016-05-16",3.72436443278992
"2016-05-17",3.67532943281079
"2016-05-18",3.59781273909325
"2016-05-19",3.4905573973842
"2016-05-20",3.50428615463421
"2016-05-23",3.36775336938248
"2016-05-24",3.4387331429869
"2016-05-25",3.30197432725453
"2016-05-27",3.20144403524503
"2016-05-30",3.33323823338677
"2016-05-31",3.24239900635029
"2016-06-01",3.22165635902525
"2016-06-02",3.19922938699797
"2016-06-03",3.03517810411422
"2016-06-06",3.09591973720003
"2016-06-07",2.99116848772023
"2016-06-08",2.92038341256946
"2016-06-09",3.29681670363199
"2016-06-10",3.226017855511
"2016-06-13",3.29719674093207
"2016-06-14",3.20524861051182
"2016-06-15",3.22875568681105
"2016-06-16",3.18065895678022
"2016-06-17",3.05577373315534
"2016-06-20",3.19979928844443
"2016-06-21",3.15439724298128
"2016-06-22",3.18662267611964
"2016-06-23",3.02650302095725
"2016-06-24",3.13485169286571
"2016-06-27",3.21971114409158
"2016-06-28",3.34850392840314
"2016-06-29",3.42340700904666
"2016-06-30",3.40185027074293
"2016-07-01",3.28116159437384
"2016-07-04",3.33033709583915
"2016-07-05",3.20946158362598
"2016-07-06",3.34798615230625
"2016-07-07",3.32061279958551
"2016-07-08",3.202083928871
"2016-07-11",3.17866049294044
"2016-07-12",3.30545904050267
"2016-07-13",3.21396366405213
"2016-07-14",3.14860906735915
"2016-07-15",3.12227017284901
"2016-07-18",3.01374769125441
"2016-07-19",3.12316894168384
"2016-07-20",3.05690877182728
"2016-07-21",2.94498108502677
"2016-07-22",2.83673620228789
"2016-07-25",2.73718394761879
"2016-07-26",2.64090257987418
"2016-07-27",2.56206631673605
"2016-07-28",2.59950560716249
"2016-07-29",2.50378461349222
"2016-08-01",2.5896196421713
"2016-08-02",2.77590781706572
"2016-08-03",2.69004729610547
"2016-08-04",2.82118561467453
"2016-08-05",2.73625152283116
"2016-08-08",2.75082865645958
"2016-08-09",2.72027159948024
"2016-08-10",2.62818589006728
"2016-08-11",2.62475374821877
"2016-08-12",2.75356231720604
"2016-08-15",2.66651714928705
"2016-08-16",2.66161313545123
"2016-08-17",2.60355582545735
"2016-08-18",2.58044326224603
"2016-08-19",2.50799165026257
"2016-08-22",2.43083158522726
"2016-08-23",2.49952694710623
"2016-08-24",2.50009295823522
"2016-08-25",2.47493045384362
"2016-08-26",2.41035064779106
"2016-08-29",2.33080985402598
"2016-08-30",2.34612244124733
"2016-08-31",2.31334514681523
"2016-09-01",2.2853905705375
"2016-09-02",2.22548273984119
"2016-09-05",2.36925439912294
"2016-09-06",2.34633930120424
"2016-09-08",2.28817815721023
"2016-09-09",2.25685549328712
"2016-09-12",2.44254519036634
"2016-09-13",2.48718477173805
"2016-09-14",2.76149721811856
"2016-09-15",2.67985297406342
"2016-09-16",2.70034717785556
"2016-09-19",2.69632044961881
"2016-09-20",2.61544343208394
"2016-09-21",2.6621926272368
"2016-09-22",2.58558564443414
"2016-09-23",2.57816709586215
"2016-09-26",2.55232759832653
"2016-09-27",2.52700556276721
"2016-09-28",2.49577775755346
"2016-09-29",2.68119607698878
"2016-09-30",2.69146702216574
"2016-10-03",2.61871276308778
"2016-10-04",2.63798745957453
"2016-10-05",2.55055957978864
"2016-10-06",2.62519102549286
