"Date","Returns","Returns_sq","Sigma_GARCH","Residuals_garch"
2017-08-18,-0.042112865483654,0.00177349343924434,0.0018745901968348,-0.972661267986252
2017-08-19,0.00766460073757358,5.87461044664135e-05,0.001890404973859,0.176283681197082
2017-08-20,-0.013053488973032,0.000170393574369068,0.00176697616847467,-0.310535503756482
2017-08-21,-0.0173510855452204,0.000301060169597556,0.0016646298974078,-0.425272995018787
2017-08-22,0.0059583095836313,3.55014530943926e-05,0.00158751721555097,0.149542226633621
2017-08-23,0.0181535299791076,0.000329550650702358,0.0014866144140574,0.470827604042343
2017-08-24,0.0479331424011864,0.00229758614045241,0.00141343377585845,1.27496472415339
2017-08-25,-0.00821948887482726,6.75599973634091e-05,0.00148642809533974,-0.213192959912464
2017-08-26,0.0131724368457515,0.000173513092455312,0.00139559973082571,0.352602743057976
2017-08-27,-0.0063440880256973,4.02474528777959e-05,0.00131501410823323,-0.174945990752743
2017-08-28,0.0176347320652699,0.000310983775013858,0.00123639244468815,0.501522814782052
2017-08-29,0.0447558973343103,0.00200309034619932,0.00117674187163092,1.30469700488634
2017-08-30,-0.00707458800301985,5.00497954124724e-05,0.00124939284609291,-0.200148180245284
2017-08-31,0.0365880145562922,0.00133868280917145,0.00117528204101355,1.06725400501429
2017-09-01,0.0230182342096352,0.00052983910612962,0.00118542005229605,0.668553043143442
2017-09-02,-0.0779954731948909,0.00608329383889495,0.00115595943299627,-2.29402475769029
2017-09-03,0.00822610030856907,6.76687262866401e-05,0.00154061440216925,0.20957864310214
2017-09-04,-0.09507933895609,0.00904008069632705,0.00144231307803741,-2.50355065422791
2017-09-05,0.0629410997381523,0.00396158203624804,0.00199666004431066,1.40858241809318
2017-09-06,0.0563900179478143,0.00317983412415482,0.00207579633578774,1.23768424402199
2017-09-07,0.0154308868273265,0.000238112268277759,0.00221269225561465,0.328042700309993
2017-09-08,-0.0911688058299713,0.00831175115646301,0.00208161789968159,-1.99823130915106
2017-09-09,-0.0056172227671496,3.15531916157838e-05,0.00256204250252547,-0.110975850573983
2017-09-10,-0.0306227871969629,0.000937755095710475,0.00240211953649893,-0.624809189948051
2017-09-11,0.0187321698756637,0.000350894188250723,0.00230777614167174,0.389934128553482
2017-09-12,-0.0106902557572646,0.000114281568155729,0.00216782671137883,-0.229602077797731
2017-09-13,-0.054038534727658,0.0029201632355123,0.00203079895301886,-1.19914057699788
2017-09-14,-0.21265671116187,0.045222876802183,0.00213407544650285,-4.60335224957837
2017-09-15,0.148619160083442,0.0220876547439078,0.00542545346554887,2.01770086946834
2017-09-16,0.00403239947876877,1.62602455563746e-05,0.00633610872355782,0.0506584898907518
2017-09-17,-0.00403510218512437,1.62820496443955e-05,0.00590605960097856,-0.0525055998725237
2017-09-18,0.0866786630897636,0.00751319063502875,0.00549461112221432,1.16934785621615
2017-09-19,-0.0314611759096124,0.000989805589615576,0.00564706139071482,-0.418662147176823
2017-09-20,-0.00257105098837407,6.61030318481928e-06,0.00530246416058885,-0.0353078943693264
2017-09-21,-0.0772715508777502,0.00597089257505274,0.00493227387541717,-1.10026180509347
2017-09-22,-0.00391903758114864,1.53588555624554e-05,0.00502301956614248,-0.0552964172054595
2017-09-23,0.0499380449547946,0.00249380833390709,0.00467766259474139,0.730158406564599
2017-09-24,-0.0322553977522766,0.00104041068415757,0.00452955089561232,-0.479264023873058
2017-09-25,0.0688143501531773,0.00473541478700409,0.0042816822557412,1.0516513784822
2017-09-26,-0.00984232163823151,9.68712952304002e-05,0.00427847231716883,-0.15047113266445
2017-09-27,0.0769758277944597,0.00592527806464231,0.00398105642389854,1.21998699606212
2017-09-28,-0.00442187753670709,1.95530009496348e-05,0.00408568273955619,-0.0691790176586675
2017-09-29,4.5513397116892e-05,2.07146931711991e-09,0.00380004308858614,0.000738320610144752
2017-09-30,0.0476683798156756,0.00227227443425151,0.00353663572796142,0.801558504108152
2017-10-01,-6.85166935276982e-06,4.69453729196852e-11,0.003450533320692,-0.00011664155045297
2017-10-02,0.000347092192997778,1.20472990440007e-07,0.00321173769544997,0.00612455883336664
2017-10-03,-0.0161108202726989,0.000259558529859206,0.00299080862466686,-0.294593622394019
2017-10-04,-0.0238102293831535,0.000566927023278386,0.00280776636604006,-0.44934829241771
2017-10-05,0.0197253314109176,0.000389088699270533,0.00266801557344666,0.38188282666305
2017-10-06,0.0176811438258788,0.000312622846991412,0.00250726370134298,0.353110271078741
2017-10-07,0.0122840489168912,0.000150897857792576,0.00236060167192279,0.252830918272556
2017-10-08,0.0478961673519738,0.00229404284700828,0.0022109603039581,1.01861552237357
2017-10-09,0.0311790991625713,0.000972136224589454,0.00222242363935611,0.661378601232386
2017-10-10,-0.000812956353072991,6.60898032001738e-07,0.00215062879105243,-0.0175301043609137
2017-10-11,0.00799005551181509,6.38409870818867e-05,0.00200751656678483,0.178328282836049
2017-10-12,0.118868569386366,0.0141297367879613,0.00187728345025909,2.74348196841606
2017-10-13,0.039712871383232,0.00157711215350113,0.00276237026667164,0.755597206920175
2017-10-14,0.0382009249319655,0.00145931066565766,0.00272669531713909,0.731569468388495
2017-10-15,-0.0276356579081405,0.000763729588015769,0.00263762348852491,-0.538100514455548
2017-10-16,0.00872367457109213,7.61024980223194e-05,0.00251036721772844,0.174112851749351
2017-10-17,-0.0290676051601046,0.00084492566974374,0.00234194260072445,-0.600649512607947
2017-10-18,-0.014934922770701,0.000223051918166803,0.00224649192920315,-0.315101557511221
2017-10-19,0.0306991978427096,0.000942440748185826,0.00212278437670959,0.666306555876702
