"Date","Sigma_GARCH"
2017-08-18,0.0018745901968348
2017-08-19,0.001890404973859
2017-08-20,0.00176697616847467
2017-08-21,0.0016646298974078
2017-08-22,0.00158751721555097
2017-08-23,0.0014866144140574
2017-08-24,0.00141343377585845
2017-08-25,0.00148642809533974
2017-08-26,0.00139559973082571
2017-08-27,0.00131501410823323
2017-08-28,0.00123639244468815
2017-08-29,0.00117674187163092
2017-08-30,0.00124939284609291
2017-08-31,0.00117528204101355
2017-09-01,0.00118542005229605
2017-09-02,0.00115595943299627
2017-09-03,0.00154061440216925
2017-09-04,0.00144231307803741
2017-09-05,0.00199666004431066
2017-09-06,0.00207579633578774
2017-09-07,0.00221269225561465
2017-09-08,0.00208161789968159
2017-09-09,0.00256204250252547
2017-09-10,0.00240211953649893
2017-09-11,0.00230777614167174
2017-09-12,0.00216782671137883
2017-09-13,0.00203079895301886
2017-09-14,0.00213407544650285
2017-09-15,0.00542545346554887
2017-09-16,0.00633610872355782
2017-09-17,0.00590605960097856
2017-09-18,0.00549461112221432
2017-09-19,0.00564706139071482
2017-09-20,0.00530246416058885
2017-09-21,0.00493227387541717
2017-09-22,0.00502301956614248
2017-09-23,0.00467766259474139
2017-09-24,0.00452955089561232
2017-09-25,0.0042816822557412
2017-09-26,0.00427847231716883
2017-09-27,0.00398105642389854
2017-09-28,0.00408568273955619
2017-09-29,0.00380004308858614
2017-09-30,0.00353663572796142
2017-10-01,0.003450533320692
2017-10-02,0.00321173769544997
2017-10-03,0.00299080862466686
2017-10-04,0.00280776636604006
2017-10-05,0.00266801557344666
2017-10-06,0.00250726370134298
2017-10-07,0.00236060167192279
2017-10-08,0.0022109603039581
2017-10-09,0.00222242363935611
2017-10-10,0.00215062879105243
2017-10-11,0.00200751656678483
2017-10-12,0.00187728345025909
2017-10-13,0.00276237026667164
2017-10-14,0.00272669531713909
2017-10-15,0.00263762348852491
2017-10-16,0.00251036721772844
2017-10-17,0.00234194260072445
2017-10-18,0.00224649192920315
2017-10-19,0.00212278437670959
2017-10-20,0.00204204039223471
2017-10-21,0.00213622417966687
2017-10-22,0.00199508993431538
2017-10-23,0.00187982786866114
2017-10-24,0.00176111219709612
2017-10-25,0.00209926903417798
2017-10-26,0.00203081190544985
2017-10-27,0.00197272634231231
2017-10-28,0.001863981033892
2017-10-29,0.00175143347575167
2017-10-30,0.00203444055692171
2017-10-31,0.00190122625359681
2017-11-01,0.00196066448752569
2017-11-02,0.00199076107805927
2017-11-03,0.00196602155260505
2017-11-04,0.00185033484243161
2017-11-05,0.00180316655933429
2017-11-06,0.00168555997166477
2017-11-07,0.00180738627516254
2017-11-08,0.00169631191672428
2017-11-09,0.00166912248081835
2017-11-10,0.00163194965327057
2017-11-11,0.00209815408520172
2017-11-12,0.0021231977888195
2017-11-13,0.0023884769091535
2017-11-14,0.00296217808850949
2017-11-15,0.00280047009694563
2017-11-16,0.00323344915295829
2017-11-17,0.00357579498526518
2017-11-18,0.00335620768295917
2017-11-19,0.00312534289232053
2017-11-20,0.00299766456969421
2017-11-21,0.00282593450178603
2017-11-22,0.0026438205979472
2017-11-23,0.00246873279452413
2017-11-24,0.002342246060643
2017-11-25,0.00219363035273212
2017-11-26,0.00237057334675455
2017-11-27,0.00239466278904091
2017-11-28,0.00245942535304507
2017-11-29,0.00234510575764277
2017-11-30,0.00222395254523204
2017-12-01,0.00208593846591448
2017-12-02,0.00255582035215174
2017-12-03,0.00239664199022123
2017-12-04,0.00227035017205966
2017-12-05,0.00221669978571291
2017-12-06,0.0020764608475501
2017-12-07,0.00346909092999798
2017-12-08,0.00646597833064616
2017-12-09,0.00609741270620914
2017-12-10,0.00623224286452585
2017-12-11,0.00579852777813191
2017-12-12,0.00623090860645345
2017-12-13,0.00579415326935725
2017-12-14,0.00542639014514622
2017-12-15,0.0050624620204352
2017-12-16,0.00506881935657148
2017-12-17,0.00527324924198889
2017-12-18,0.00490778150103907
2017-12-19,0.00456296597435754
2017-12-20,0.00479539511947744
2017-12-21,0.00468176552095555
2017-12-22,0.00466009572195782
2017-12-23,0.00610178582984761
2017-12-24,0.00567930492068682
2017-12-25,0.0052954295376554
2017-12-26,0.00493294827444342
2017-12-27,0.00590609509182519
2017-12-28,0.00549063430071059
2017-12-29,0.00571660836531305
2017-12-30,0.00531521009503942
2017-12-31,0.00644527416577215
2018-01-01,0.00651375614764901
2018-01-02,0.00606842830512529
2018-01-03,0.00616630431756311
2018-01-04,0.00576576852132168
2018-01-05,0.00535907837767755
2018-01-06,0.00599717774202719
2018-01-07,0.00558202662107165
2018-01-08,0.00544156907596041
2018-01-09,0.00558146310485
2018-01-10,0.00530434613323862
2018-01-11,0.00500392284738347
2018-01-12,0.00565708491597809
2018-01-13,0.00530675029852297
2018-01-14,0.00503379970563584
2018-01-15,0.00489385136243039
2018-01-16,0.00454877552317106
2018-01-17,0.00764522438394839
2018-01-18,0.00710340803148206
2018-01-19,0.00659595047906888
2018-01-20,0.00625262435388978
2018-01-21,0.0067090691487708
2018-01-22,0.00695773335007776
2018-01-23,0.00692549983778213
2018-01-24,0.00643092839162228
2018-01-25,0.00614569017837528
2018-01-26,0.00572289930119925
2018-01-27,0.00532653292477146
2018-01-28,0.00503414769169434
2018-01-29,0.00476231110079365
2018-01-30,0.00464359800917519
2018-01-31,0.00504693141574861
2018-02-01,0.00469085896049724
2018-02-02,0.00521490250049407
2018-02-03,0.00501793387005375
2018-02-04,0.00475092307456609
2018-02-05,0.00539660981164177
2018-02-06,0.00724868632295365
2018-02-07,0.00729023569986602
