"Index","Forecasts"
"2020-05-14",2.19059663955197
"2020-05-15",2.19797494358097
"2020-05-16",2.20190858387762
"2020-05-17",2.16412196226433
"2020-05-18",2.14444686209342
"2020-05-19",2.10726722007272
"2020-05-20",2.0705513657426
"2020-05-21",2.05168629730332
"2020-05-22",2.06511379030254
"2020-05-23",2.03144645559658
"2020-05-24",1.99481825696264
"2020-05-25",2.02186317734551
"2020-05-26",1.99747569175078
"2020-05-27",1.96248360303138
"2020-05-28",1.97012582496261
"2020-05-29",1.97467833441591
"2020-05-30",1.94903565027385
"2020-05-31",1.93533389195456
"2020-06-01",1.92318975591342
"2020-06-02",2.03079354471881
"2020-06-03",2.09506902164753
"2020-06-04",2.0647316639526
"2020-06-05",2.03560022649727
"2020-06-06",2.00780605673681
"2020-06-07",1.97586748982336
"2020-06-08",1.94465570405897
"2020-06-09",1.9117883839419
"2020-06-10",1.88166225200298
"2020-06-11",1.85230124818643
"2020-06-12",1.93120506103441
"2020-06-13",1.90816414230614
"2020-06-14",1.87539087199301
"2020-06-15",1.85153546289931
"2020-06-16",1.82365636007103
"2020-06-17",1.79546075209987
"2020-06-18",1.76847918734437
"2020-06-19",1.73981748186882
"2020-06-20",1.71449176035911
"2020-06-21",1.68685672626122
"2020-06-22",1.66173856700249
"2020-06-23",1.70825128392666
"2020-06-24",1.68310755309563
"2020-06-25",1.70608394727692
"2020-06-26",1.67779674639993
"2020-06-27",1.65625792451822
"2020-06-28",1.64113683313695
"2020-06-29",1.61953425896432
"2020-06-30",1.59582454603039
"2020-07-01",1.57120189301207
"2020-07-02",1.55096676376622
"2020-07-03",1.54071079670489
"2020-07-04",1.51380497358359
"2020-07-05",1.49538454176125
"2020-07-06",1.47464927961567
"2020-07-07",1.5104738056063
"2020-07-08",1.48969619775302
"2020-07-09",1.49202935994875
"2020-07-10",1.50285442185422
"2020-07-11",1.4821574681972
"2020-07-12",1.46035732520846
"2020-07-13",1.43822000868956
"2020-07-14",1.41799550263604
"2020-07-15",1.39134077949178
"2020-07-16",1.37136342059784
"2020-07-17",1.35558130064216
"2020-07-18",1.32742101085637
"2020-07-19",1.29901082363337
"2020-07-20",1.27209998365723
"2020-07-21",1.25329113944166
"2020-07-22",1.31382407911873
"2020-07-23",1.31533352046728
"2020-07-24",1.30038368079679
"2020-07-25",1.27982431098976
"2020-07-26",1.30060897563592
"2020-07-27",1.34203936433403
"2020-07-28",1.86075800174868
"2020-07-29",1.82868786673798
"2020-07-30",1.80664116534647
"2020-07-31",1.77040767482575
"2020-08-01",1.75696740815549
"2020-08-02",1.78819231281933
"2020-08-03",1.89683769453998
"2020-08-04",1.86549586449594
"2020-08-05",1.83003644532664
"2020-08-06",1.876100615597
"2020-08-07",1.84002809709253
"2020-08-08",1.81440252024898
"2020-08-09",1.7904928831501
"2020-08-10",1.76219294919252
"2020-08-11",1.74336677537827
"2020-08-12",1.78534197836068
"2020-08-13",1.765261092104
"2020-08-14",1.74735446474449
"2020-08-15",1.71571553380648
"2020-08-16",1.68979871617744
"2020-08-17",1.66191262755026
"2020-08-18",1.67522152357788
"2020-08-19",1.68009269081842
"2020-08-20",1.66315693050057
"2020-08-21",1.63743308311386
"2020-08-22",1.64834374002604
"2020-08-23",1.62880108807069
"2020-08-24",1.60403875085334
"2020-08-25",1.58173529041049
"2020-08-26",1.62741035687609
"2020-08-27",1.60760413691286
"2020-08-28",1.59094961525893
"2020-08-29",1.57998008258018
"2020-08-30",1.55565389429717
"2020-08-31",1.5584177104376
"2020-09-01",1.53291703368412
"2020-09-02",1.54285975476724
"2020-09-03",1.63077903527026
"2020-09-04",2.05283270430464
"2020-09-05",2.03833649976737
"2020-09-06",2.01803521594952
"2020-09-07",1.98265621905957
"2020-09-08",1.94688622233909
"2020-09-09",1.92731287166386
"2020-09-10",1.89310738958682
"2020-09-11",1.86394622455535
"2020-09-12",1.83345844255015
"2020-09-13",1.80088812729402
"2020-09-14",1.77184983660489
"2020-09-15",1.78149781104666
"2020-09-16",1.75677703564418
"2020-09-17",1.73888278400295
"2020-09-18",1.71208379865399
"2020-09-19",1.68134349858576
"2020-09-20",1.66053503382169
"2020-09-21",1.64215258987767
"2020-09-22",1.71783172052434
"2020-09-23",1.69254492067891
"2020-09-24",1.70089895041064
"2020-09-25",1.76316815348908
"2020-09-26",1.73412719670773
"2020-09-27",1.70727964705923
"2020-09-28",1.67943286918043
"2020-09-29",1.65692110641551
"2020-09-30",1.63772501722259
"2020-10-01",1.61081999170539
"2020-10-02",1.5979799155988
"2020-10-03",1.5709568463629
"2020-10-04",1.5485094081105
"2020-10-05",1.53568164385526
"2020-10-06",1.52236880321561
"2020-10-07",1.52286153672796
"2020-10-08",1.50286541297622
"2020-10-09",1.52253497038721
"2020-10-10",1.51014121125352
"2020-10-11",1.52446866401962
"2020-10-12",1.50148530070676
"2020-10-13",1.49329197111241
"2020-10-14",1.47439740285504
"2020-10-15",1.44730131751241
"2020-10-16",1.43289654503127
"2020-10-17",1.43936519109624
"2020-10-18",1.42071556646557
"2020-10-19",1.42021237597939
"2020-10-20",1.44031256375702
"2020-10-21",1.43990156686978
"2020-10-22",1.71904928122811
"2020-10-23",1.69603675213136
"2020-10-24",1.66548157451206
"2020-10-25",1.64880348687893
"2020-10-26",1.62427308446142
"2020-10-27",1.59965287782343
"2020-10-28",1.67645227590227
"2020-10-29",1.68695635273141
"2020-10-30",1.66963115418884
"2020-10-31",1.64540921777438
"2020-11-01",1.63566461754223
"2020-11-02",1.61047554270651
"2020-11-03",1.6031638634529
