Proxy Values,Predicted Values
0.07528236015720063,0.087191686
0.2900332981297593,0.2991903
0.18248703152736148,0.23014474
0.17498780384305626,0.2049022
0.25095481509308964,0.34475467
0.07431556791774142,0.17881206
0.09102646990229708,0.12543358
0.09758534567233462,0.22640103
0.2587728442130116,0.23553437
0.06707988532374981,0.098450884
0.19823690177903489,0.19935384
0.12694117382262135,0.12068288
0.052064665391258494,0.08336222
0.20635136651057753,0.19562884
0.1238282786658115,0.14405715
0.29807615804624477,0.14996664
0.15808446021697822,0.13940595
0.5727576114410092,0.4430143
0.10605026036569402,0.16758175
0.1378006080867033,0.14935958
0.02581049612098329,0.104112625
0.40675977982192035,0.3388144
0.22861811328821466,0.31133732
0.4853176776980998,0.36145502
0.27400703716943664,0.22513242
0.5867810951059482,0.42958224
0.2066988004190197,0.15466186
0.23945496022341445,0.29200155
0.18829891366402599,0.18399307
0.6034205361318685,0.47706857
0.2642430074260384,0.33288732
0.47839785367379306,0.41327742
0.11214857534029717,0.12649634
0.06970788235358419,0.08029333
0.19343196375538496,0.20140666
0.08843370341561319,0.14076939
0.18273371837708827,0.22014129
0.2873062042589029,0.28009793
0.22505917028464487,0.32014266
0.19674661500835816,0.12985098
0.2698357197086484,0.24959445
0.20596814345569134,0.20744728
0.11562142277649205,0.11437036
0.30100548058307286,0.3022498
0.2298673834887839,0.35463428
0.11196990110732644,0.13171957
0.16667108146204232,0.17899105
0.06033296512419958,0.071678415
0.13100931437914043,0.17042348
0.15933892357195734,0.24138531
0.1849622220916669,0.19779769
0.20929195914298537,0.26158276
0.30642966534618227,0.3290467
0.18465882472674017,0.23927373
0.06447574979037661,0.0986031
0.12084995873348443,0.16371125
0.1281442809079366,0.09584111
0.06019718323305875,0.07720792
0.406351607418359,0.33073774
0.14572606636465457,0.16659732
0.1408174575196986,0.11113347
0.17543987414991274,0.16817176
0.2316219818020137,0.28621563
0.17695781150012346,0.15690106
0.20976147830741068,0.32191715
0.18353019201895426,0.16336787
0.3525029135513065,0.33103713
0.2635672085298617,0.21688747
0.22991639290383134,0.21607512
0.09821061644478214,0.1864819
0.3215389390873533,0.2508047
0.2567705440207625,0.15896392
0.08259077488329038,0.16309658
0.24643628185792152,0.2120871
0.3300623591958233,0.411607
0.17711969907334238,0.24014442
0.3268956081225295,0.31071892
0.2363287240578043,0.28129056
0.16111145549322872,0.15911639
0.2637200427020246,0.3438781
0.2086659741184982,0.28231072
0.3362069166497589,0.44892484
0.21605030637578562,0.17070475
0.28715828412508865,0.31362188
0.3665675794477189,0.30864564
0.2176402879048498,0.3606538
0.12363258408031846,0.12989037
0.21933601124285,0.20386904
0.12686090838737332,0.13084331
0.08997966199526365,0.15566717
0.10214640541740636,0.21243232
0.1924269909778971,0.18456244
0.5854423400633436,0.5642176
0.10028084031343035,0.11026795
0.09168429589764097,0.13220337
0.18921170790233247,0.25260127
0.20621691139007473,0.21051446
0.09463385819710521,0.10571945
0.031578966746130234,0.09217538
0.10969143357790787,0.18478283
0.2927287197723903,0.37952825
0.28900498894304383,0.21660945
0.2652435640090079,0.21861485
0.43078226118664936,0.3902445
0.11795755894584994,0.11569667
0.186020213277719,0.2780309
0.08423587836053689,0.120415
0.2905009126610951,0.26624665
0.39409508730114634,0.3863256
0.3369069077227781,0.24207488
0.02632651331881335,0.10302237
0.5291860237770244,0.5324349
0.4097999243374417,0.27035865
0.19964032889268812,0.15269902
0.28973330878364634,0.19816226
0.19999122152365398,0.16223262
0.23573579953460508,0.2406782
0.16078472670820002,0.18174455
0.13561046159148016,0.103476346
0.24284209751335473,0.24592486
0.03915618120250646,0.09801078
0.24984298335581176,0.26286992
0.20145054368996493,0.19699565
0.08424236446170824,0.095809415
0.3234538123682909,0.3136119
