"Index","Forecasts"
"2020-05-14",4.95848752484654
"2020-05-15",4.97919455935959
"2020-05-16",4.99804648830751
"2020-05-17",4.75268080181217
"2020-05-18",4.70166944323635
"2020-05-19",4.33849676151253
"2020-05-20",4.37263579184492
"2020-05-21",4.33601135185685
"2020-05-22",4.47512613857909
"2020-05-23",4.10728261351802
"2020-05-24",3.94426965367618
"2020-05-25",4.27772039362258
"2020-05-26",4.06029749895572
"2020-05-27",4.00042386773312
"2020-05-28",4.03224446117838
"2020-05-29",4.06579285625099
"2020-05-30",3.85857771281194
"2020-05-31",3.85500210576717
"2020-06-01",3.9157754564603
"2020-06-02",4.53800124163878
"2020-06-03",4.73502270054014
"2020-06-04",4.23616089450253
"2020-06-05",4.33120341705057
"2020-06-06",4.22727454334549
"2020-06-07",4.08354444457231
"2020-06-08",3.77440855655883
"2020-06-09",3.69536340550711
"2020-06-10",3.58572305067251
"2020-06-11",3.48492316905989
"2020-06-12",3.70891374740645
"2020-06-13",3.61365015278233
"2020-06-14",3.43262852491551
"2020-06-15",3.5523482548427
"2020-06-16",3.30572602027559
"2020-06-17",3.37698578233876
"2020-06-18",3.27493178991797
"2020-06-19",3.21951444246896
"2020-06-20",3.16078655053488
"2020-06-21",3.08598671687586
"2020-06-22",2.89870463381169
"2020-06-23",3.42518213158416
"2020-06-24",3.18461134478691
"2020-06-25",3.45779833521239
"2020-06-26",3.21687494088846
"2020-06-27",3.1544298468886
"2020-06-28",3.13179729349859
"2020-06-29",3.07559279171591
"2020-06-30",3.01322077053119
"2020-07-01",2.95330715685012
"2020-07-02",2.88931025498045
"2020-07-03",2.8914583049483
"2020-07-04",2.84071054271491
"2020-07-05",2.72485870576483
"2020-07-06",2.71520577283898
"2020-07-07",3.05570685016975
"2020-07-08",2.76466317837821
"2020-07-09",2.86856085878668
"2020-07-10",2.93351602967514
"2020-07-11",2.74749833800348
"2020-07-12",2.71257508766121
"2020-07-13",2.65486838273794
"2020-07-14",2.62242481715546
"2020-07-15",2.60287917000644
"2020-07-16",2.55241142649334
"2020-07-17",2.50648542632526
"2020-07-18",2.4587050774932
"2020-07-19",2.44166489063256
"2020-07-20",2.4318860122285
"2020-07-21",2.37497865077777
"2020-07-22",2.82669357323684
"2020-07-23",2.57563067084768
"2020-07-24",2.52506237611985
"2020-07-25",2.49069055176912
"2020-07-26",2.65611521923824
"2020-07-27",2.77038264458502
"2020-07-28",4.62849731634408
"2020-07-29",3.86280473771576
"2020-07-30",3.63172104543999
"2020-07-31",3.38902050871935
"2020-08-01",5.42069841995342
"2020-08-02",3.74780009002142
"2020-08-03",4.00974693293541
"2020-08-04",3.68729318664491
"2020-08-05",3.56437562646429
"2020-08-06",3.6136034540789
"2020-08-07",3.55831132006869
"2020-08-08",3.47357962885131
"2020-08-09",3.34687959423052
"2020-08-10",3.23242244892269
"2020-08-11",3.24051313638139
"2020-08-12",3.51022297960919
"2020-08-13",3.46967063713033
"2020-08-14",3.40450524183002
"2020-08-15",3.28017635522928
"2020-08-16",3.18249566646082
"2020-08-17",2.98267828361187
"2020-08-18",3.25391709370606
"2020-08-19",3.3236241019689
"2020-08-20",3.00229400728316
"2020-08-21",2.88816635094339
"2020-08-22",3.00849504701397
"2020-08-23",2.87530500958557
"2020-08-24",2.90368513688151
"2020-08-25",5.52764657431742
"2020-08-26",3.05041839244854
"2020-08-27",2.95645358927391
"2020-08-28",2.96465911401663
"2020-08-29",2.77273085168675
"2020-08-30",2.8080912749474
"2020-08-31",2.76006661301531
"2020-09-01",2.67910413506682
"2020-09-02",2.84409573423733
"2020-09-03",3.43902670524143
"2020-09-04",4.33688145247493
"2020-09-05",4.30137222540992
"2020-09-06",4.10866360016894
"2020-09-07",4.06979680084292
"2020-09-08",3.9302055194115
"2020-09-09",3.71052397261598
"2020-09-10",3.57600188104617
"2020-09-11",3.46188888806686
"2020-09-12",3.25986423514683
"2020-09-13",3.17473633851982
"2020-09-14",3.19666209019568
"2020-09-15",3.30295736611219
"2020-09-16",3.24628569391873
"2020-09-17",3.13086338442569
"2020-09-18",3.20695738112382
"2020-09-19",3.12957697283526
"2020-09-20",2.90563277920069
"2020-09-21",2.90340951788603
"2020-09-22",3.55827722769481
"2020-09-23",3.06342677169829
"2020-09-24",3.24429855331529
"2020-09-25",3.6441957524849
"2020-09-26",3.1726988089927
"2020-09-27",3.05898377801825
"2020-09-28",2.9760435709807
"2020-09-29",3.06014584370896
"2020-09-30",2.89490769677523
"2020-10-01",2.80431011217333
"2020-10-02",2.80033674736764
"2020-10-03",2.74196614571917
"2020-10-04",2.65429042944419
"2020-10-05",2.66269842056616
"2020-10-06",2.64136414494882
"2020-10-07",2.71300180612558
"2020-10-08",2.66293277952318
"2020-10-09",2.99995050705588
"2020-10-10",2.53435783100678
"2020-10-11",2.65200619211591
"2020-10-12",2.55849209114485
"2020-10-13",2.59312783982215
"2020-10-14",2.49265533953483
"2020-10-15",2.42378501714564
"2020-10-16",2.47962806447703
"2020-10-17",2.57979547691673
"2020-10-18",2.39745242966938
"2020-10-19",2.44611703361919
"2020-10-20",2.76602221997694
"2020-10-21",2.55863483420036
"2020-10-22",4.37577920211126
"2020-10-23",3.30993262111627
"2020-10-24",2.86533934156505
"2020-10-25",2.84489164549248
"2020-10-26",2.83439473931226
"2020-10-27",2.65139297821199
"2020-10-28",3.42911139885898
"2020-10-29",3.31890918218505
"2020-10-30",2.89872142115363
"2020-10-31",2.78020869923554
"2020-11-01",2.82578227141617
"2020-11-02",2.72064633088546
"2020-11-03",2.69857973880939
