"vol_forecast","omega","alpha1","beta1","Volume"
0.34087131588619,6.39724595294318e-05,6.33231684679738e-09,0.997725203489087,0.0525277703771976
0.303182007450945,1.74884760680962e-05,1.86130591544538e-10,0.990194705085692,0.0567339384794672
0.330360175674714,4.27279507988083e-05,3.51562146603177e-09,0.997470631038251,0.0855715358568233
0.33991605958525,0.0311070391512296,1.717562897547e-09,0.998997212102223,0.0453430364834448
0.294382711078511,8.37210598550766e-06,1.47983087590752e-10,0.991008121172448,0.0337817444207289
0.279111629195672,6.97267775778865e-06,6.54596545281805e-10,0.9877452039321,0.0392220355850894
0.240357877739546,1.77991327777412e-06,1.57960767368975e-09,0.978868449405143,0.0311955577512154
0.212577590805686,7.74504921969044e-07,2.54708848096762e-09,0.971855451953178,0.0185538055484517
0.182230986356838,1.93493945224401e-07,3.59635381264077e-09,0.963102585536635,0.0487366622709999
0.149723983149364,5.40826311310541e-07,0.0167169940512249,0.930787724527629,0.0298089058107866
0.106078641212297,1.26463015253479e-07,0.0562054471818924,0.868216021848157,0.0187145562436517
0.0303829057119217,4.85808400315044e-14,0.417272341108122,0.548018542590225,0.0130565286879093
0.0764446400380692,1.47632374317084e-07,0.0614966985675679,0.852572396929914,0.0911303345883682
0.142820928118122,6.73155296264138e-07,2.38603758234707e-09,0.972954778770698,0.110942361627644
0.193159558554816,0.000566208546323605,2.44806234371892e-08,0.998995721169029,0.13027752328892
0.218457508114522,0.0741972032580146,1.33485461772746e-08,0.998998651611391,0.0497641058678336
0.208815027131419,0.0323432483945583,1.27832192064938e-07,0.998885998520586,0.0475226684846748
0.207055673238077,0.0322928349980872,5.0775910103329e-08,0.998983615089443,0.0413923117257522
0.199609226425156,0.0462039638011322,6.28422929202639e-10,0.995897896443118,0.021744154001865
0.188476267671948,0.0525223507100657,3.89657236462042e-08,0.992110707741081,0.037638343550897
0.180806661151937,3.73857343203837e-05,1.77198087203216e-08,0.9947274379138,0.00477233942204801
0.166367723428586,5.00120283494297e-06,1.51721904914707e-09,0.990349107836701,0.0253064687905559
0.16158036768183,7.97444751239148e-06,1.26315388283662e-10,0.988009532294461,0.0164410821258234
0.151206660947315,4.28873894766069e-06,1.29917463008849e-08,0.986274048847358,0.0102049757913989
0.134883617769817,9.43020536529059e-07,3.48249607524789e-10,0.980223469584622,0.00253827332297248
0.124398482346527,5.24164436802659e-07,5.98313576276474e-09,0.979096392147561,0.00855777730972014
0.10858886835923,3.41195490793105e-07,4.0904937950615e-10,0.972694654660072,0.0947295057974752
0.155949222907924,0.000132412874661119,1.02377117599143e-09,0.998995304747368,0.00949307985551331
0.140700227703852,4.79569175343622e-06,9.77989420446761e-11,0.993171843058348,0.0414288846352422
0.133840163080407,3.48815028212899e-06,5.34862170288354e-09,0.990710601476573,0.0846699711112573
0.154500247104652,0.000118297949572979,8.72012335356426e-10,0.997464319846559,0.113008589258363
0.150395270371233,2.90529494591055e-05,7.232055914565e-10,0.996992860258938,0.087270616838011
0.160601486576406,2.31548864773521,1.08756847641425e-12,0.83906034919372,0.0870421070314305
0.460888593879377,97.0522302332881,0.998999668264913,1.40482176489694e-07,0.0519335314757176
0.140065697596156,5.77219704035507e-06,8.18003774975374e-10,0.995691770517076,0.0204836644236303
0.143456672635375,1.14559498087686e-05,2.01527085923018e-09,0.998580448893296,0.0325101979163693
0.130070378383804,7.79286374361417e-07,5.02279770354895e-10,0.993549482707246,0.137721953191144
0.254579893066607,9.07128687171231,0.69232221185153,0.252456441113277,0.162082913042561
0.146381662844517,9.3897220994826e-06,5.45372284915496e-10,0.998392784117415,0.066236657706474
0.124965327830984,1.89302722938311e-06,3.70327058902907e-09,0.989548365613557,0.0623278925658706
0.101342992208839,5.0498141856889e-07,4.40854760302576e-09,0.978299383626129,0.0590286759167663
0.0995205429342143,1.83910697729021e-06,1.41302996524808e-09,0.976557733420523,0.0340536313990301
0.0881862752774927,1.22832912033114e-06,1.12505208096556e-08,0.970375740685879,0.00388183160260686
0.0873196398122311,5.5437383441262e-07,2.53998252373672e-10,0.972713152895979,0.0309457846251639
0.0912679727093943,4.95251967868826e-07,9.86651917990226e-11,0.982711943031261,0.0308922010600973
0.0949947054350813,1.76155976457028e-06,3.13992063675571e-10,0.995675321746221,0.131569199069045
0.157231032533299,0.116522221935504,3.85832718962182e-09,0.99899991963425,0.119446271861372
0.18049204682733,0.258402036691739,3.31451352667937e-09,0.998999866003927,0.0222720513465958
0.200491221057697,2.15102489724309,1.51237412972175e-11,0.901006292679012,0.0185109953985836
0.217435124419072,4.49661152349129,4.81666947062303e-14,0.816836803172172,0.022219318314308
0.367497909782704,64.0797509196683,3.33190544494978e-20,0.00152786096830293,0.0346195192078823
0.152795431635149,2.7698029399212,6.60300710894517e-16,0.790228996052867,0.0835586082802451
0.403383422847545,9.66975804088861,1.37319909186569e-15,0.87547253473163,0.0716318706335561
0.398271171056119,25.0474811223632,2.92648559522884e-09,0.664355908012217,0.0428926515476187
0.303618608297732,31.4597366899559,2.60660114893885e-21,0.300981035233666,0.0189215192198351
0.119728344693618,3.75785687218235e-06,5.8712811246085e-10,0.989614974757829,0.0154229943895569
