"Date","Mu_Window"
2021-06-21,0.000637230405025415
2021-06-22,0.000632121738509988
2021-06-23,0.000630343747238581
2021-06-24,0.000656394604947159
2021-06-25,0.000641752724627433
2021-06-28,0.00061574552279471
2021-06-29,0.000619241642421904
2021-06-30,0.000639108333583356
2021-07-01,0.000630143156461187
2021-07-02,0.000612006429280155
2021-07-05,0.000600324638908694
2021-07-06,0.000572483839474874
2021-07-07,0.000583111396240135
2021-07-08,0.000571205047112442
2021-07-12,0.000558775715971992
2021-07-13,0.000570888547506975
2021-07-14,0.00055285237192009
2021-07-15,0.000552012687639413
2021-07-16,0.000540574993751932
2021-07-19,0.000541207376602694
2021-07-20,0.000538322316558036
2021-07-21,0.000578548380825456
2021-07-22,0.000545544844818252
2021-07-23,0.000565196266145688
2021-07-26,0.000585247009385924
2021-07-27,0.000605831255504441
2021-07-28,0.000612906130434322
2021-07-29,0.000646940736497815
2021-07-30,0.000639371115340389
2021-08-02,0.000609669764829859
2021-08-03,0.000633830322107415
2021-08-04,0.00060581438548998
2021-08-05,0.000654666078242162
2021-08-06,0.00064553027990982
2021-08-09,0.000652021915221064
2021-08-10,0.000647401519043178
2021-08-11,0.000686268682447822
2021-08-12,0.00073285566272032
2021-08-13,0.000739795436170382
2021-08-16,0.000749344802956121
2021-08-17,0.000761682625702622
2021-08-18,0.0007643135717433
2021-08-19,0.000796725838305182
2021-08-20,0.000764232946771515
2021-08-23,0.00072632331014659
2021-08-24,0.000755730423874091
2021-08-25,0.000757438927196111
2021-08-26,0.000782838663235593
2021-08-27,0.000796097950487975
2021-08-30,0.000802863999759997
2021-08-31,0.000755856191283999
2021-09-01,0.000794161075744625
2021-09-02,0.000765571635290424
2021-09-03,0.000766859218447134
2021-09-06,0.000766760290186585
2021-09-08,0.000753566677388318
2021-09-09,0.000782455226905364
2021-09-10,0.000791288772775855
2021-09-13,0.00082313200327024
2021-09-14,0.000829916364170289
2021-09-15,0.000845974927981346
2021-09-16,0.00087379905858977
2021-09-17,0.000888072234443441
2021-09-20,0.000868621952915139
2021-09-21,0.000866107774278175
2021-09-22,0.000821601559836849
2021-09-23,0.000838458348749491
2021-09-24,0.000826019425709283
2021-09-27,0.000876952471168294
2021-09-28,0.000854900802893872
2021-09-29,0.0008700005777615
2021-09-30,0.000885397434967119
2021-10-01,0.000893880477122173
2021-10-04,0.000932004248337096
2021-10-05,0.000980672673798045
2021-10-06,0.000989207431134823
2021-10-07,0.000983074094764657
2021-10-08,0.00100115890922386
2021-10-11,0.000964332323570607
2021-10-13,0.000994679695652257
2021-10-14,0.00101822930624313
2021-10-15,0.00104327920099737
2021-10-18,0.00107073164910119
2021-10-19,0.0010518139371655
2021-10-20,0.0010477203399186
2021-10-21,0.00103835032295091
2021-10-22,0.00106998110464283
2021-10-25,0.00109875975319676
2021-10-26,0.00102958874318326
2021-10-27,0.0010485361335467
2021-10-28,0.000987109460987192
2021-10-29,0.000942258503253101
2021-11-01,0.000929539600429232
2021-11-03,0.000879169400419371
2021-11-04,0.000836041083998763
2021-11-05,0.000828385111865872
2021-11-08,0.000888106112783966
2021-11-09,0.00091533575611054
2021-11-10,0.000906717983502121
2021-11-11,0.000911402011986233
2021-11-12,0.000924875524468649
2021-11-16,0.000923422595850951
2021-11-17,0.000931656665517914
2021-11-18,0.000907822263581717
2021-11-19,0.000899175561934342
2021-11-22,0.000917568644109304
2021-11-23,0.000974604374510719
2021-11-24,0.000979420472193694
2021-11-25,0.00101600361686126
2021-11-26,0.000980901001374357
2021-11-29,0.000940454090197022
2021-11-30,0.000971760985376671
2021-12-01,0.000973130187701607
2021-12-02,0.00104642566927919
2021-12-03,0.0010712875242657
2021-12-06,0.00107691713292222
2021-12-07,0.00107810813101023
2021-12-08,0.00109008180226146
2021-12-09,0.00111655548402174
2021-12-10,0.00108639010225223
2021-12-13,0.00107715587951637
2021-12-14,0.00106405601702771
2021-12-15,0.00106646135895916
2021-12-16,0.00105517451538376
2021-12-17,0.00100548542411301
2021-12-20,0.00103492208577031
2021-12-21,0.00103418275263113
2021-12-22,0.00106073176056289
2021-12-23,0.00105863203685084
2021-12-27,0.00108427488429188
2021-12-28,0.00108230528015521
2021-12-29,0.00103714103821772
2021-12-30,0.0010746169196182
2022-01-03,0.0011193644383651
2022-01-04,0.00112746722111211
2022-01-05,0.00105422606624448
2022-01-06,0.00107141197092121
2022-01-07,0.00109263626294983
2022-01-10,0.00109229066319247
2022-01-11,0.00109261840798883
2022-01-12,0.00112444002038854
2022-01-13,0.00114604659437184
2022-01-14,0.00118731941459702
2022-01-17,0.00122547929274896
2022-01-18,0.00121354303871176
2022-01-19,0.00119676905244096
2022-01-20,0.00122412215142747
2022-01-21,0.00122616795394203
2022-01-24,0.00122893867412995
2022-01-25,0.00123358915718855
2022-01-26,0.0012698366907155
2022-01-27,0.00129858015746886
2022-01-28,0.00128642218230782
2022-01-31,0.00128145401535654
2022-02-01,0.00131413522436399
2022-02-02,0.00136867388394625
2022-02-03,0.00139148933864534
2022-02-04,0.00135191014614099
2022-02-07,0.00140592207926659
2022-02-08,0.00144875778677494
2022-02-09,0.001471000059637
2022-02-10,0.00151489066800182
2022-02-11,0.0015310284198331
2022-02-14,0.00152931748586285
2022-02-15,0.00155125556452264
2022-02-16,0.00150414283217662
2022-02-17,0.0014971437124774
2022-02-18,0.00146729079835685
2022-02-21,0.00150098237101687
2022-02-22,0.00156094160749765
2022-02-23,0.0015415339490386
2022-02-24,0.00149044973883227
2022-02-25,0.00152985124625834
2022-03-02,0.00157752014161923
