"Date","Parkinson"
2015-05-26,0.000499974459657519
2015-05-27,0.000317322280674956
2015-05-28,0.000400187263480093
2015-05-29,0.0004634460038208
2015-06-01,0.000372366456350375
2015-06-02,0.000514528187505008
2015-06-03,0.000312530188135539
2015-06-05,0.000294467623910953
2015-06-08,0.000203835232510422
2015-06-09,0.00078418279435939
2015-06-10,0.00056156897136742
2015-06-11,0.000179636268348054
2015-06-12,9.50690928665893e-05
2015-06-15,7.71053755891551e-05
2015-06-16,0.000673256521521669
2015-06-17,0.000446798944611051
2015-06-18,0.000171620159168845
2015-06-19,0.000236798014288655
2015-06-22,0.000118339307445279
2015-06-23,0.000477752867805016
2015-06-24,0.000186314469617379
2015-06-25,0.00112764935939766
2015-06-26,0.000701687853879515
2015-06-29,0.0019777926351404
2015-06-30,0.000253715643996154
2015-07-01,0.00164839612750432
2015-07-02,0.000324041649720763
2015-07-03,0.000995393664427831
2015-07-06,0.000551921208242973
2015-07-07,0.00276458780764623
2015-07-08,0.00115621156978324
2015-07-10,0.000135538268707775
2015-07-13,0.000319793435673832
2015-07-14,0.000644487344833892
2015-07-15,0.000294963219337377
2015-07-16,7.35475739402041e-05
2015-07-17,0.000692013834243912
2015-07-20,0.00181372930105045
2015-07-21,0.00123958964050777
2015-07-22,0.000495334926995816
2015-07-23,0.000653295877122702
2015-07-24,0.00079781970418105
2015-07-27,0.000874506955843274
2015-07-28,0.0013660382693233
2015-07-29,0.00222634650510294
2015-07-30,0.00153369400564668
2015-07-31,0.000471596902985899
2015-08-03,0.000736686108191844
2015-08-04,0.000418572768937419
2015-08-05,0.000995670461487754
2015-08-06,0.00150527454414093
2015-08-07,0.00260779563591334
2015-08-10,0.000794945900545395
2015-08-11,0.000587432436904092
2015-08-12,0.000430693794212411
2015-08-13,0.000804773715380843
2015-08-14,0.000578449423642879
2015-08-17,0.000243355925366587
2015-08-18,0.000641742695814863
2015-08-19,0.000814464255561059
2015-08-20,0.000752276111891715
2015-08-21,0.000581329304326251
2015-08-24,0.00240002988319699
2015-08-25,0.000681171130364829
2015-08-26,0.000443022673736545
2015-08-27,0.00214627550427559
2015-08-28,0.00271245691873302
2015-08-31,0.002700037371032
2015-09-01,0.00140500281572227
2015-09-02,0.00127359058831013
2015-09-03,0.00205750171268091
2015-09-04,0.000302364332582
2015-09-08,0.000210889915611204
2015-09-09,0.00141307103950012
2015-09-10,0.000654934732526407
2015-09-11,0.000951372323623543
2015-09-14,0.000801112639722567
2015-09-15,0.00066180484405234
2015-09-16,0.00141333323078127
2015-09-17,0.000353602790027012
2015-09-18,0.00041888636828787
2015-09-21,0.000928762062315901
2015-09-22,0.00135216628789186
2015-09-23,0.00159031375175462
2015-09-24,0.00223067396135853
2015-09-25,0.00149370154868734
2015-09-28,0.000797201860458719
2015-09-29,0.000687160935287642
2015-09-30,0.000599350682252147
2015-10-01,0.00152735856919819
2015-10-02,0.00576621812999931
2015-10-05,0.000869421579804221
2015-10-06,0.00137858679993368
2015-10-07,0.00194403942382824
2015-10-08,0.00154473149615671
2015-10-09,0.00111250123942304
2015-10-13,0.000844098030919633
2015-10-14,0.000641994229172913
2015-10-15,0.000932120590073872
2015-10-16,0.000416617853534728
2015-10-19,0.000233548086918296
2015-10-20,0.000267418132933723
2015-10-21,0.000710869509762842
2015-10-22,0.000512429060223312
2015-10-23,0.000634100237038752
2015-10-26,0.000619291527343283
2015-10-27,0.000583995953803832
2015-10-28,0.0011152046945935
2015-10-29,0.000778524641562455
2015-10-30,0.000354120080024854
2015-11-03,0.00275764070285717
2015-11-04,0.00206252024753275
2015-11-05,0.000504788691123341
2015-11-06,0.000707275821684243
2015-11-09,0.000692608665383517
2015-11-10,0.000202335914402704
2015-11-11,0.000217643043078076
2015-11-12,0.000272891380116201
2015-11-13,0.000718472652423542
2015-11-16,0.000974401372977451
2015-11-17,0.000290679789311409
2015-11-18,0.000332086106115913
2015-11-19,0.00076857201483808
2015-11-23,0.000354490269507281
2015-11-24,0.00161395688342268
2015-11-25,0.00110691670008503
2015-11-26,0.0002776318255678
2015-11-27,0.000509730909832599
2015-11-30,0.00109341101867229
2015-12-01,0.000599459421388592
2015-12-02,0.000372366456588415
2015-12-03,0.000818163556022728
2015-12-04,0.00184413479071527
2015-12-07,0.00140216402099413
2015-12-08,0.000450434934684653
2015-12-09,0.00191825477132046
2015-12-10,0.000440558699034235
2015-12-11,0.000680167714752342
2015-12-14,0.000180625339697183
2015-12-15,0.000191139192913729
2015-12-16,0.000503810800049509
2015-12-17,0.000726311327259032
2015-12-18,0.000237832526849387
2015-12-21,0.00169682002701581
2015-12-22,0.00031952152032314
2015-12-23,0.000215506993643395
2015-12-28,0.000491218302565209
2015-12-29,0.00028370048878832
2015-12-30,0.000471297839030673
2016-01-04,0.00180392880268514
2016-01-05,0.00112360320338184
2016-01-06,0.000168886894914413
2016-01-07,0.00112985500351773
2016-01-08,0.000933900497926077
2016-01-11,0.00059134278738348
2016-01-12,0.00397623683705272
2016-01-13,0.00287175489169415
2016-01-14,0.00387143999239182
2016-01-15,0.0010071193832268
2016-01-18,0.00242303773665997
2016-01-19,0.00258591020161705
2016-01-20,0.00108344334110274
2016-01-21,0.00170162487370534
2016-01-22,0.00235131608559631
2016-01-26,0.000733117692786011
2016-01-27,0.00430084897037082
2016-01-28,0.00981099120089155
2016-01-29,0.00189717467172959
2016-02-01,0.000636925216596761
2016-02-02,0.0022085519850695
2016-02-03,0.00170112207686948
2016-02-04,0.00562590828009896
2016-02-05,0.00104079220761697
2016-02-10,0.000322913716915276
