"Date","Returns","Sigma_GARCH","Residuals_garch","Parkinson"
2015-05-27,0.0128309699290473,0.00113695398854516,0.38052924757797,0.000317322280674956
2015-05-28,0.00951632875705879,0.00100690586331513,0.299898989300152,0.000400187263480093
2015-05-29,-0.0272016771517936,0.000888707416374754,-0.91246513583564,0.0004634460038208
2015-06-01,0.00323886921856672,0.000882487577225662,0.109028267699412,0.000372366456350375
2015-06-02,0.0372911118742906,0.000774927069591978,1.33959931436319,0.000514528187505008
2015-06-03,-0.000779119654019512,0.000862958366306105,-0.0265221812218146,0.000312530188135539
2015-06-05,-0.0212690175917085,0.000757940281205825,-0.772555940235843,0.000294467623910953
2015-06-08,0.000795861582280469,0.000733673965213436,0.0293823134118965,0.000203835232510422
2015-06-09,0.0313259757220524,0.000649423406974837,1.22925119215946,0.00078418279435939
2015-06-10,0.0061491354221984,0.000704351367959586,0.231696448249658,0.00056156897136742
2015-06-11,0,0.000628915221725001,0,0.000179636268348054
2015-06-12,-0.00230149698874564,0.000561757121242339,-0.097103775868517,9.50690928665893e-05
2015-06-15,-0.00230680609838377,0.000506620511559437,-0.102487218442879,7.71053755891551e-05
2015-06-16,0.027336554169235,0.000460457454015047,1.27394012299156,0.000673256521521669
2015-06-17,-0.0120574181098975,0.000515623119750067,-0.530992185743439,0.000446798944611051
2015-06-18,0.0187763683599677,0.000488311439059526,0.849695166449024,0.000171620159168845
2015-06-19,-0.0202938193438439,0.000487808671223036,-0.918838177972238,0.000236798014288655
2015-06-22,0.00227531383759131,0.00050192054148803,0.101560264461192,0.000118339307445279
2015-06-23,-0.0175778312481217,0.000455724799566542,-0.823405871492246,0.000477752867805016
2015-06-24,0.0175778312481217,0.000460890824251455,0.818778178874713,0.000186314469617379
2015-06-25,-0.0465200156144689,0.000459247134832746,-2.17078406086027,0.00112764935939766
2015-06-26,0.0472773045755771,0.000715914548205025,1.76694126843059,0.000701687853879515
2015-06-29,-0.0354428469264598,0.000924365467724089,-1.16575353927569,0.0019777926351404
2015-06-30,-0.00314218642342858,0.000982526375925399,-0.100244334936485,0.000253715643996154
2015-07-01,-0.0425938229075678,0.000859693267859845,-1.45269639225449,0.00164839612750432
2015-07-02,0.00980400009843483,0.0010039367096334,0.309421252340342,0.000324041649720763
2015-07-03,-0.0474495997219343,0.000886912908699108,-1.59327985532623,0.000995393664427831
2015-07-06,-0.0215432717672089,0.00108580533595293,-0.653786087043071,0.000551921208242973
2015-07-07,0.025796787336765,0.0010098142025222,0.811792222517161,0.00276458780764623
2015-07-08,-0.0197177412701463,0.000964974298198766,-0.634745002925859,0.00115621156978324
2015-07-10,0.0205662775854682,0.000898294127329947,0.686193204756607,0.000135538268707775
2015-07-13,0.00254129742916003,0.000840175243351074,0.0876739466698561,0.000319793435673832
2015-07-14,0.015113637812922,0.000739079177180977,0.555934373227185,0.000644487344833892
2015-07-15,-0.0168071183302417,0.00068186659791468,-0.643640775557158,0.000294963219337377
2015-07-16,0.0101181301676241,0.000646583233147915,0.397912922096734,7.35475739402041e-05
2015-07-17,-0.0446043062348652,0.000588472624838484,-1.83871177167185,0.000692013834243912
2015-07-20,-0.054993576129977,0.000800535157723227,-1.94366653374734,0.00181372930105045
2015-07-21,-0.00185528807875094,0.00111772446482904,-0.0554937375058035,0.00123958964050777
2015-07-22,-0.0388122543560386,0.00097182255309594,-1.24501728836481,0.000495334926995816
2015-07-23,-0.0185100267621277,0.00105616915055315,-0.56956108360619,0.000653295877122702
2015-07-24,-0.0128650957867571,0.000968297703966541,-0.413436269282253,0.00079781970418105
2015-07-27,-0.0542332377292905,0.000870165817014861,-1.83850376357727,0.000874506955843274
2015-07-28,0.0472367074129848,0.00116483409531256,1.38403661887023,0.0013660382693233
2015-07-29,0.0725305716830347,0.00129975236463839,2.01182774163688,0.00222634650510294
2015-07-30,-0.0235971307526777,0.00181203327366562,-0.5543398690334,0.00153369400564668
2015-07-31,0.00286123228154719,0.00163060324956971,0.070856380613697,0.000471596902985899
2015-08-03,-0.0467921615153687,0.00140109964925825,-1.25008226904677,0.000736686108191844
2015-08-04,0.0158419154562594,0.00150798000364874,0.407952782759474,0.000418572768937419
2015-08-05,-0.0168404177734686,0.00132856580200919,-0.462020585927756,0.000995670461487754
2015-08-06,0.0304991667193821,0.00118823507049103,0.884783043158063,0.00150527454414093
2015-08-07,-0.062989334162631,0.00114884139251544,-1.85839051514425,0.00260779563591334
2015-08-10,0.0264781252855599,0.00153641204748057,0.67551248596682,0.000794945900545395
2015-08-11,-0.0121336170135872,0.00141053699251266,-0.323071049528181,0.000587432436904092
2015-08-12,0.0050735775761403,0.00123790302461164,0.144201903491771,0.000430693794212411
2015-08-13,-0.0381686351971749,0.00107424539023614,-1.16454126376684,0.000804773715380843
2015-08-14,-0.0223294764025697,0.00113521990056418,-0.662732916619107,0.000578449423642879
2015-08-17,-0.0195445960769753,0.00105591922285473,-0.601466372502483,0.000243355925366587
2015-08-18,-0.0132452267527797,0.000973509403645045,-0.424511365498879,0.000641742695814863
2015-08-19,-0.0236098656012042,0.000875916602599429,-0.797741408682976,0.000814464255561059
2015-08-20,-0.00684934184675535,0.000846852346288261,-0.235366687155431,0.000752276111891715
2015-08-21,-0.0505098550882339,0.000751654457747449,-1.84232821715302,0.000581329304326251
2015-08-24,-0.0672731805735538,0.00101300974148699,-2.11366010426022,0.00240002988319699
2015-08-25,0.0178804252491578,0.00149775018794615,0.462017208733886,0.000681171130364829
2015-08-26,0.0262351086597065,0.00132881270254556,0.719699136756583,0.000443022673736545
