"Date","Returns","Returns_sq","Sigma_GARCH","Residuals_garch"
2017-08-18,-0.042112865483654,0.00177349343924434,0.00188803421464407,-0.969192094391603
2017-08-19,0.00766460073757358,5.87461044664135e-05,0.00189322900860238,0.176152155368936
2017-08-20,-0.013053488973032,0.000170393574369068,0.00176887761290936,-0.310368554735842
2017-08-21,-0.0173510855452204,0.000301060169597556,0.00166242531709886,-0.425554883727079
2017-08-22,0.0059583095836313,3.55014530943926e-05,0.0015739385781823,0.150185904520921
2017-08-23,0.0181535299791076,0.000329550650702358,0.00147220378874842,0.473126333846727
2017-08-24,0.0479331424011864,0.00229758614045241,0.00140038002794575,1.28089328018602
2017-08-25,-0.00821948887482726,6.75599973634091e-05,0.00148226430811601,-0.213492187113541
2017-08-26,0.0131724368457515,0.000173513092455312,0.00138994039018469,0.353319850040758
2017-08-27,-0.0063440880256973,4.02474528777959e-05,0.00131264244375943,-0.175103964444405
2017-08-28,0.0176347320652699,0.000310983775013858,0.00123120647681706,0.502577937627548
2017-08-29,0.0447558973343103,0.00200309034619932,0.00117637653351355,1.30489958396365
2017-08-30,-0.00707458800301985,5.00497954124724e-05,0.00125317555548823,-0.199845878388731
2017-08-31,0.0365880145562922,0.00133868280917145,0.00117701621370555,1.06646748866968
2017-09-01,0.0230182342096352,0.00052983910612962,0.00120372519090579,0.663450201044279
2017-09-02,-0.0779954731948909,0.00608329383889495,0.00116747608150796,-2.28268193243937
2017-09-03,0.00822610030856907,6.76687262866401e-05,0.00155226331551556,0.208790773872652
2017-09-04,-0.09507933895609,0.00904008069632705,0.0014546054642765,-2.49294987448311
2017-09-05,0.0629410997381523,0.00396158203624804,0.00204017632201365,1.39347915146491
2017-09-06,0.0563900179478143,0.00317983412415482,0.00219856048190839,1.20263274374144
2017-09-07,0.0154308868273265,0.000238112268277759,0.00228597826032722,0.322741518567552
2017-09-08,-0.0911688058299713,0.00831175115646301,0.00214516270713561,-1.96841264880027
2017-09-09,-0.0056172227671496,3.15531916157838e-05,0.00262317658291593,-0.109675060854226
2017-09-10,-0.0306227871969629,0.000937755095710475,0.00244106960223993,-0.6198043715798
2017-09-11,0.0187321698756637,0.000350894188250723,0.00234111296984608,0.387147894863283
2017-09-12,-0.0106902557572646,0.000114281568155729,0.0022045840978614,-0.227679935823608
2017-09-13,-0.054038534727658,0.0029201632355123,0.00206065374750868,-1.19042229728281
2017-09-14,-0.21265671116187,0.045222876802183,0.00213903852091601,-4.59800871615934
2017-09-15,0.148619160083442,0.0220876547439078,0.00539755745827294,2.02290815636764
2017-09-16,0.00403239947876877,1.62602455563746e-05,0.00666491858048663,0.0493930819871047
2017-09-17,-0.00403510218512437,1.62820496443955e-05,0.00617320568228607,-0.0513569428839229
2017-09-18,0.0866786630897636,0.00751319063502875,0.00571902053718351,1.14617617352636
2017-09-19,-0.0314611759096124,0.000989805589615576,0.00586414265072269,-0.410839969042363
2017-09-20,-0.00257105098837407,6.61030318481928e-06,0.00550686724179974,-0.034646421624651
2017-09-21,-0.0772715508777502,0.00597089257505274,0.00510280667798594,-1.08172052740377
2017-09-22,-0.00391903758114864,1.53588555624554e-05,0.00517879509227072,-0.0544584234122929
2017-09-23,0.0499380449547946,0.00249380833390709,0.00480043096443644,0.720761236656334
2017-09-24,-0.0322553977522766,0.00104041068415757,0.00463761203868714,-0.473647439978916
2017-09-25,0.0688143501531773,0.00473541478700409,0.0043777533374643,1.0400479662012
2017-09-26,-0.00984232163823151,9.68712952304002e-05,0.00441602317057518,-0.148109147284505
2017-09-27,0.0769758277944597,0.00592527806464231,0.00410201087466883,1.20186576436392
2017-09-28,-0.00442187753670709,1.95530009496348e-05,0.00425094158847834,-0.0678209926503068
2017-09-29,4.5513397116892e-05,2.07146931711991e-09,0.00394370445595678,0.000724748077255975
2017-09-30,0.0476683798156756,0.00227227443425151,0.00365844225704105,0.788101744283463
2017-10-01,-6.85166935276982e-06,4.69453729196852e-11,0.00356609133399768,-0.000114736121653194
2017-10-02,0.000347092192997778,1.20472990440007e-07,0.00330964732748352,0.00603328701786927
2017-10-03,-0.0161108202726989,0.000259558529859206,0.00307278345840472,-0.290637517090124
2017-10-04,-0.0238102293831535,0.000566927023278386,0.00287353647019815,-0.444176136878287
2017-10-05,0.0197253314109176,0.000389088699270533,0.00271264553080431,0.378728323302412
2017-10-06,0.0176811438258788,0.000312622846991412,0.00255063906332545,0.350094955886791
2017-10-07,0.0122840489168912,0.000150897857792576,0.00239523727877908,0.250996269122487
2017-10-08,0.0478961673519738,0.00229404284700828,0.00223951465877299,1.01210089255431
2017-10-09,0.0311790991625713,0.000972136224589454,0.00225709173251464,0.656279680888694
2017-10-10,-0.000812956353072991,6.60898032001738e-07,0.00217376524651406,-0.017436564023449
2017-10-11,0.00799005551181509,6.38409870818867e-05,0.00202362932655631,0.177616911619352
2017-10-12,0.118868569386366,0.0141297367879613,0.0018897098861253,2.73444673675488
2017-10-13,0.039712871383232,0.00157711215350113,0.00282541279178238,0.747119954114887
2017-10-14,0.0382009249319655,0.00145931066565766,0.00274427869278092,0.729222015113091
2017-10-15,-0.0276356579081405,0.000763729588015769,0.00266046405190275,-0.535785690501983
2017-10-16,0.00872367457109213,7.61024980223194e-05,0.00253065677695724,0.1734134715753
2017-10-17,-0.0290676051601046,0.00084492566974374,0.00235896596420018,-0.598478309381008
2017-10-18,-0.014934922770701,0.000223051918166803,0.00225828360478315,-0.314277826099425
2017-10-19,0.0306991978427096,0.000942440748185826,0.00211844732648313,0.666988264460299
