"Date","Sigma2_ARFIMA_ajustado","Residuals"
2011-05-12,0,-Inf
2011-05-13,0,-Inf
2011-05-16,-7.63540848798864e-06,NA
2011-05-17,5.84688443064817e-05,2.48904091586886
2011-05-18,6.61449595628616e-05,-1.52113119607333
2011-05-19,5.66486038253822e-05,-2.56049686428942
2011-05-20,7.29233147958903e-05,1.72104440016157
2011-05-23,7.59400545397385e-05,-1.88084569685313
2011-05-24,4.73349051345133e-05,1.53160597195303
2011-05-25,3.26942501143806e-05,0.366261348956743
2011-05-26,4.16431782264077e-05,1.933035686138
2011-05-27,3.77859411002645e-05,0.603887023498365
2011-05-30,2.69099331817752e-05,-1.67386188925357
2011-05-31,1.91912179012772e-05,0.094776807161938
2011-06-01,2.76308233850176e-05,-0.712067757032698
2011-06-02,2.29553063171337e-05,-0.435281287861706
2011-06-03,2.22319228521409e-05,-1.51077853545942
2011-06-06,3.31832429159683e-05,-4.28654739264225
2011-06-07,7.49635242922088e-05,-0.999990169722867
2011-06-08,6.49244071151884e-05,1.0745255153506
2011-06-09,7.57257087848014e-05,2.45031510983959
2011-06-10,0.000115542206101705,0.0784744255772494
2011-06-13,8.46889992598305e-05,-1.8014881995084
2011-06-14,8.60493268306738e-05,1.24043570590353
2011-06-15,6.5791772046037e-05,-1.57724274747881
2011-06-16,6.137571825684e-05,-0.0547947544274784
2011-06-17,8.41447347301611e-05,-0.234289941391653
2011-06-20,6.71978335302959e-05,-0.737098772114827
2011-06-21,6.23315572459752e-05,0.765331052894559
2011-06-22,5.23734300803452e-05,0.11886433157473
2011-06-24,6.27329401057048e-05,-2.13488101175518
2011-06-27,5.90169056576424e-05,1.18981264757115
2011-06-28,5.42389055260836e-05,2.1594957943808
2011-06-29,5.29563222326233e-05,-0.410814055073623
2011-06-30,5.15067593577426e-05,2.01170102102925
2011-07-01,4.43647427761592e-05,0.189763679176607
2011-07-04,5.12311633768761e-05,0.293820793909393
2011-07-05,4.16248251522876e-05,-1.57093078451145
2011-07-06,5.33851815996574e-05,-0.290767324953464
2011-07-07,5.3171708169427e-05,0.698203939277062
2011-07-08,4.64454477412889e-05,-1.18459577640181
2011-07-11,4.17537673466591e-05,-1.92660666511616
2011-07-12,4.01920625302679e-05,-0.204541607349393
2011-07-13,4.56956495165727e-05,1.71757168420941
2011-07-14,4.52646326761768e-05,-2.82267056545292
2011-07-15,5.96383628233368e-05,0.225494654164828
2011-07-18,5.14370567370952e-05,-1.40194939337248
2011-07-19,6.17235650144709e-05,-0.616661064018926
2011-07-20,6.33870123932266e-05,-1.50624936302586
2011-07-21,6.65389070024312e-05,3.35001218244361
2011-07-22,9.54577749118352e-05,-0.133589140067157
2011-07-25,8.63806275970017e-05,2.45439155030254
2011-07-26,9.22040831893317e-05,0.706647409256411
2011-07-27,8.57177345737551e-05,-0.320030371649839
2011-07-28,7.68667706062501e-05,-0.435988493084268
2011-07-29,6.71035603381065e-05,0
2011-08-01,6.53648854156671e-05,0
2011-08-02,6.14941661476118e-05,-1.80341805898099
2011-08-03,7.60445520070849e-05,-3.44606120624799
2011-08-04,0.00012622339298278,-6.8022592429604
2011-08-05,0.000290836675134737,-1.3500289181606
2011-08-08,0.000390404870890531,-3.99044500136367
2011-08-09,0.000441349867163712,1.25933719631697
2011-08-10,0.00045618718729109,1.39698714640776
2011-08-11,0.000463728243724257,1.11622644868696
2011-08-12,0.000465872082226476,0.205862685302969
2011-08-15,0.000353420394969255,1.77798802367483
2011-08-16,0.00029180089915843,-0.645004036592172
2011-08-17,0.00023658405083513,0.343577369488246
2011-08-18,0.000206543247662045,-1.92684258087693
2011-08-19,0.00021141158535514,-2.06342856608955
2011-08-22,0.000222507433019257,-0.170366121316427
2011-08-23,0.000226826199286852,1.70131662793815
2011-08-24,0.000258845532312601,0.215443939028196
2011-08-25,0.000216592672818084,-1.25425579028988
2011-08-26,0.00020589311183027,0.140224160262078
2011-08-29,0.000196939878474956,2.08195919933025
2011-08-30,0.00018573104579545,0.214551696681963
2011-08-31,0.000174640272011577,0.915013670595085
2011-09-01,0.000167750309518707,0.885773451427804
2011-09-02,0.000149523392314759,-2.64656703058703
2011-09-05,0.000192028507115001,-1.21466061207201
2011-09-06,0.00016259493246183,1.70408492168081
2011-09-08,0.000227419553404282,0.61265231028604
2011-09-09,0.000188594302248435,-1.82008597514783
2011-09-12,0.000186363473467048,0.687477691169961
2011-09-13,0.000198794257358995,-0.0697735361268468
2011-09-14,0.000169503917770488,0.752294452405186
2011-09-15,0.000188379147249126,0.106441310630837
2011-09-16,0.000162696197157962,0.38057909617345
2011-09-19,0.000143075270154625,0.605084919398278
2011-09-20,0.000150896934251355,-0.786543635628288
2011-09-21,0.000154736996499032,0
2011-09-22,0.000158074573478404,-4.3647187812178
2011-09-23,0.000227571719108721,-1.16600151610547
2011-09-26,0.000224603889041619,2.1249749015477
2011-09-27,0.000261511091813916,-0.723258886500614
2011-09-28,0.000241227188461757,-0.662065701831439
2011-09-29,0.000203605050515489,0.180856558146441
2011-09-30,0.000177700853657718,-1.16910778934639
2011-10-03,0.000172183323029581,-2.80404818375158
2011-10-04,0.000203033862118922,0.531672145626269
2011-10-05,0.000224592672432612,-1.23437751964892
2011-10-06,0.000247644629205383,2.1949936917807
2011-10-07,0.000268874641581582,-1.8058874405671
2011-10-10,0.000311852640833854,1.8567967055381
2011-10-11,0.000290872356536278,0.770091173482887
2011-10-13,0.000282394760733221,0.710084912480644
2011-10-14,0.000258658016131889,0.796552530171701
2011-10-17,0.000221291824801642,-1.17392761055953
