"Date","Open","Close","High","Low","log_return","Parkinson"
2011-05-12,5.4193712968,5.437742047,5.4928542975,5.3803334527,-0.00547485048149891,0.000154510408359927
2011-05-13,5.4584091409,5.4010005467,5.4767798911,5.3918151716,-0.00677968698212619,8.81703719081159e-05
2011-05-16,5.3803334527,5.497446985,5.5778190169,5.357370015,0.0176995770932292,0.000586483652453048
2011-05-17,5.5089287038,5.6030787984,5.6191532048,5.4538164534,0.0190324321670629,0.000321698974826781
2011-05-18,5.6191532048,5.5341884853,5.667376424,5.5341884853,-0.0123712918034356,0.000203980132327427
2011-05-19,5.5686336419,5.4285566719,5.6007824546,5.4285566719,-0.019271647956434,0.00035183780079016
2011-05-20,5.4331493594,5.5089287038,5.5456702042,5.3918151716,0.0146968843056509,0.000285509311481444
2011-05-23,5.3964078591,5.4193712968,5.4423347345,5.3757407652,-0.016390364815793,5.46707834538398e-05
2011-05-24,5.4790762348,5.4767798911,5.5295957978,5.4515201096,0.010537505312689,7.29336361974885e-05
2011-05-25,5.4721872035,5.4882616099,5.5594482668,5.4308530157,0.00209424159413825,0.000197535358895972
2011-05-26,5.5112250476,5.557151923,5.557151923,5.4561127971,0.0124741742260793,0.000121435569346237
2011-05-27,5.5847080482,5.5778190169,5.6122641735,5.5433738604,0.00371210984632875,5.50190476867664e-05
2011-05-30,5.5847080482,5.5295957978,5.5847080482,5.5227067665,-0.00868312256147409,4.4953024058444e-05
2011-05-31,5.5801153607,5.5318921415,5.5915970796,5.4836689224,0.000415196173532961,0.000137013457975323
2011-06-01,5.5112250476,5.5112250476,5.5433738604,5.4721872035,-0.00374298627368247,6.02518771261549e-05
2011-06-02,5.527299454,5.4997433288,5.527299454,5.4492237658,-0.00208550648208155,7.29946833572213e-05
2011-06-03,5.4607054847,5.4607054847,5.5479665479,5.4354457032,-0.00712343259657471,0.000151424561692727
2011-06-06,5.4813725786,5.327517546,5.4951506412,5.3160358272,-0.0246926125995278,0.000396068511618221
2011-06-07,5.3642590463,5.2815906706,5.3665553901,5.267812608,-0.00865806274376754,0.000124390396195699
2011-06-08,5.2701089518,5.327517546,5.3849261403,5.2471455141,0.00865806274376744,0.000242305729438571
2011-06-09,5.3367029211,5.4423347345,5.497446985,5.3022577646,0.0213227694704051,0.000471364663707252
2011-06-10,5.4607054847,5.4469274221,5.4744835473,5.4055932342,0.000843525999516619,5.78413663622818e-05
