"Date","Parkinson","Sigma2_ARFIMA"
2017-06-01,0.000467573984865418,0.000244708408358225
2017-06-02,0.000298372154975603,0.000287144748616202
2017-06-05,0.00021589487972593,0.000274261884784031
2017-06-06,0.000186880393535471,0.000250700321819218
2017-06-07,0.000592791333082809,0.000232272153658093
2017-06-08,0.000136845424505317,0.000281019314310337
2017-06-09,0.000156433019107324,0.000245027518306779
2017-06-12,0.000146524830761903,0.000214245291401508
2017-06-13,0.000135574833336136,0.000200200466219108
2017-06-14,0.000405525426138924,0.000195485458808864
2017-06-16,0.000338771099178942,0.000223292600250385
2017-06-19,0.000147925164895863,0.000231475101957542
2017-06-20,0.00034611079379727,0.000210633240015598
2017-06-21,0.000721120551683684,0.000224150824837316
2017-06-22,0.00026171833191135,0.000240832195138312
2017-06-23,0.000196057716557478,0.000229041322116178
2017-06-26,0.000164631572404916,0.000214657476499762
2017-06-27,0.000291840772694512,0.000209631600415262
2017-06-28,0.000234239814586327,0.000217409976445798
2017-06-29,0.000106957438244002,0.000191712801975089
2017-06-30,0.000199375710042675,0.000184737851552251
2017-07-03,8.58559003013127e-05,0.000168053129795034
2017-07-04,2.8498055180289e-05,0.000168104363132447
2017-07-05,0.000380267688216933,0.000149320060073151
2017-07-06,0.000189376550870074,0.000183391967465598
2017-07-07,0.000256082487750473,0.000147924093129651
2017-07-10,0.000186471412566754,0.000152770100636642
2017-07-11,0.000736291408807481,0.000178730285258744
2017-07-12,0.000511304077070942,0.000251043765877365
2017-07-13,0.000124462058985081,0.000264620537121309
2017-07-14,4.81307708294747e-05,0.000223823461857226
2017-07-17,6.95766505659059e-05,0.000185984848726564
2017-07-18,7.79428510154204e-05,0.000162856133526357
2017-07-19,0.000188593723129471,0.000148729953259555
2017-07-20,0.000212308566841216,0.000155118726622349
2017-07-21,0.000298836611490146,0.000159727257216488
2017-07-24,4.91856844823646e-05,0.000177308447322451
2017-07-25,0.000120512407853872,0.000149786926812146
2017-07-26,0.000269936704232814,0.000143956343715139
2017-07-27,6.08803517588437e-05,0.000135068700577715
2017-07-28,0.000102981356247225,0.000121539894560891
2017-07-31,0.000119418443241756,0.000134754878077733
2017-08-01,0.000119237564779616,0.000130595143598647
2017-08-02,0.000569040686098132,0.000128758958674711
2017-08-03,0.000242995089996547,0.000186420620683487
2017-08-04,9.7659994311906e-05,0.000183967485073158
2017-08-07,0.000167065402751925,0.000156430253556873
2017-08-08,0.000103540753523584,0.000132999626455655
2017-08-09,5.69835208245761e-05,0.000124390996103369
2017-08-10,0.000522186992897873,0.000118410979214024
2017-08-11,0.000142737705962548,0.000146251220904865
2017-08-14,0.000203076589135097,0.000157165676408877
2017-08-15,7.535562784906e-05,0.000156225970708215
2017-08-16,0.000161319554400301,0.000137606919043514
2017-08-17,0.000120329039135768,0.000137238230579259
2017-08-18,0.000390108989522176,0.00012938251104262
2017-08-21,0.000287080807817478,0.000162271824344567
2017-08-22,0.000100848459374165,0.000166019035666923
2017-08-23,0.000148707174036568,0.000139576930664801
2017-08-24,8.37059625548654e-05,0.000128258711145807
2017-08-25,3.1662239134318e-05,0.00011597310507898
2017-08-28,0.00013619222190819,0.000101136888388638
2017-08-29,5.50137184083637e-05,0.000103870441013242
2017-08-30,0.000408484097310187,9.52599513909535e-05
2017-08-31,0.000174999964765844,0.000136986962449701
2017-09-01,0.000251769022610976,0.000135932741933181
2017-09-04,0.000105096312811999,0.000141715084731023
2017-09-05,0.000305168696320257,0.000129724423637446
2017-09-06,0.000430402085810564,0.000145821744425247
2017-09-08,0.000342895176009333,0.000170680869995735
2017-09-11,9.32043367564719e-05,0.000176357260788331
2017-09-12,0.000144086930087961,0.000152730226982643
2017-09-13,0.00013563286275183,0.000134768979177739
2017-09-14,9.06365717124436e-05,0.000134409241421448
2017-09-15,5.13886475287002e-05,0.000117950824888633
2017-09-18,6.98998970407138e-05,0.00010479872190075
2017-09-19,9.95933101864666e-05,0.000102356966706031
2017-09-20,0.000988602347421785,9.74913943875569e-05
2017-09-21,0.000209440364544205,0.000218418097244282
