"Date","Parkinson","Sigma2_FIGARCH"
2017-06-01,0.000467573984865418,0.0011628554472232
2017-06-02,0.000298372154975603,0.00108745628983303
2017-06-05,0.00021589487972593,0.00101328006690966
2017-06-06,0.000186880393535471,0.000939919258796359
2017-06-07,0.000592791333082809,0.000863195149106132
2017-06-08,0.000136845424505317,0.000830028851306799
2017-06-09,0.000156433019107324,0.000794181513900284
2017-06-12,0.000146524830761903,0.00074104921677557
2017-06-13,0.000135574833336136,0.000691724327246335
2017-06-14,0.000405525426138924,0.000650180172174836
2017-06-16,0.000338771099178942,0.0006579529243368
2017-06-19,0.000147925164895863,0.000702301703303977
2017-06-20,0.00034611079379727,0.00069842045953546
2017-06-21,0.000721120551683684,0.000739498419632976
2017-06-22,0.00026171833191135,0.00076621249987787
2017-06-23,0.000196057716557478,0.000805355926749449
2017-06-26,0.000164631572404916,0.000798997136455925
2017-06-27,0.000291840772694512,0.000787925893615571
2017-06-28,0.000234239814586327,0.000756096969369853
2017-06-29,0.000106957438244002,0.000699997009100506
2017-06-30,0.000199375710042675,0.000649960485703042
2017-07-03,8.58559003013127e-05,0.000621257221933636
2017-07-04,2.8498055180289e-05,0.000592249409865133
2017-07-05,0.000380267688216933,0.000559438387262672
2017-07-06,0.000189376550870074,0.000551875124847533
2017-07-07,0.000256082487750473,0.000539685350043273
2017-07-10,0.000186471412566754,0.000541558190062923
2017-07-11,0.000736291408807481,0.000534211499938742
2017-07-12,0.000511304077070942,0.000567368962859655
2017-07-13,0.000124462058985081,0.000736031125156321
2017-07-14,4.81307708294747e-05,0.000804587395365363
2017-07-17,6.95766505659059e-05,0.000752030457227422
2017-07-18,7.79428510154204e-05,0.000691158380615334
2017-07-19,0.000188593723129471,0.000632166302946629
2017-07-20,0.000212308566841216,0.00061242683078077
2017-07-21,0.000298836611490146,0.000597412722667172
2017-07-24,4.91856844823646e-05,0.000628466452563552
2017-07-25,0.000120512407853872,0.000647586640529634
2017-07-26,0.000269936704232814,0.000659075962599256
2017-07-27,6.08803517588437e-05,0.000661243827500445
2017-07-28,0.000102981356247225,0.000626536198782377
2017-07-31,0.000119418443241756,0.000583664739472677
2017-08-01,0.000119237564779616,0.000553725759085913
2017-08-02,0.000569040686098132,0.000534520888363558
2017-08-03,0.000242995089996547,0.00056647368572126
2017-08-04,9.7659994311906e-05,0.000587567566232614
2017-08-07,0.000167065402751925,0.000566632760951443
2017-08-08,0.000103540753523584,0.000537617767117774
2017-08-09,5.69835208245761e-05,0.000507357958313481
2017-08-10,0.000522186992897873,0.000476771222764228
2017-08-11,0.000142737705962548,0.000490898296657925
2017-08-14,0.000203076589135097,0.000513192661526219
2017-08-15,7.535562784906e-05,0.000509976209313792
2017-08-16,0.000161319554400301,0.000486198538509286
2017-08-17,0.000120329039135768,0.00045609812844988
2017-08-18,0.000390108989522176,0.000429070131265459
2017-08-21,0.000287080807817478,0.000511740085097204
2017-08-22,0.000100848459374165,0.000582446618962153
2017-08-23,0.000148707174036568,0.0006437417629791
2017-08-24,8.37059625548654e-05,0.000647709335065424
2017-08-25,3.1662239134318e-05,0.000597873891886072
2017-08-28,0.00013619222190819,0.000546090152806661
2017-08-29,5.50137184083637e-05,0.000502082098216727
2017-08-30,0.000408484097310187,0.00046396062558271
2017-08-31,0.000174999964765844,0.000485559618601367
2017-09-01,0.000251769022610976,0.000504425034275599
2017-09-04,0.000105096312811999,0.000534751656420669
2017-09-05,0.000305168696320257,0.000538896633673813
2017-09-06,0.000430402085810564,0.000529729324531905
2017-09-08,0.000342895176009333,0.000602419852318534
2017-09-11,9.32043367564719e-05,0.000655773649775437
