"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_2_5","VaR_MSGARCH_2_5","VaR_GAS_2_5","ES_GARCH_2_5","ES_MSGARCH_2_5","ES_GAS_2_5","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","Parkinson"
2017-06-16,-0.0273109343893459,0.0267138815085201,0.0203461133398098,0.0210199126636418,-0.0690382878778322,-0.0530064170002647,-0.0547272076434932,-0.0910226401268682,-0.0765350166077416,-0.0783309372775307,-0.0506911767302805,-0.0381811014697452,-0.0407014559623925,-0.0721038343516972,-0.0575616722509384,-0.0606699123936493,-0.0430100854231815,-0.0329426250072673,-0.0348836817685603,-0.0634668559599344,-0.0530579411980326,-0.0546235876337271,0.000338771099178942
2017-06-19,0.000814000848868547,0.026921635412862,0.0215469597171825,0.0227983781463316,-0.0695569397974366,-0.055854182721967,-0.0593593607643123,-0.0910226401268682,-0.0802882529436125,-0.081865494238662,-0.0510367718901061,-0.0404203240456396,-0.0441267389402211,-0.0721038343516972,-0.0605006666107982,-0.0642778073967835,-0.0433413158088979,-0.0347315031102735,-0.0378109828364625,-0.06387199516896,-0.0544994234970221,-0.057142332511031,0.000147925164895863
2017-06-20,-0.0356145300051791,0.0255931281603464,0.0206523196489475,0.0208889788377827,-0.0660919278350522,-0.0534505566799376,-0.0544248214205285,-0.0875828688223805,-0.0769683808649383,-0.0783309372775307,-0.048551681704446,-0.0387641284444755,-0.0404642129806471,-0.0694362130083146,-0.0582902461421863,-0.0605006666107982,-0.0413088653287103,-0.0332587763421474,-0.0346753757299449,-0.0615466068933767,-0.0531748831799101,-0.0544994234970221,0.00034611079379727
2017-06-21,-0.0187239512592885,0.0269701547917323,0.0229002095832374,0.0252353823529892,-0.0696185035526558,-0.0588629218394727,-0.065664368350987,-0.0917890443401505,-0.081865494238662,-0.0875828688223805,-0.0510495994625061,-0.0429194210483568,-0.0487973156069004,-0.0721038343516972,-0.0634668559599344,-0.0702846807685348,-0.0434687852669257,-0.036892821381745,-0.0419934414582338,-0.06387199516896,-0.0568638776636614,-0.0626792650781699,0.000721120551683684
2017-06-22,0.0337869975733974,0.0263648194892112,0.0225011980427624,0.0243619285443352,-0.0680311076641953,-0.057712838065666,-0.0634153035142521,-0.0902598122953225,-0.081865494238662,-0.0857286492283959,-0.0498980530174191,-0.0421791706266295,-0.0471233942695933,-0.0708776635249,-0.0626792650781699,-0.0673900351385144,-0.0425701796874843,-0.036280650217619,-0.0405621635465004,-0.0628725173328891,-0.0560413396168136,-0.0605006666107982,0.00026171833191135
2017-06-23,-0.00917820375158934,0.0274086821777174,0.0240203019351843,0.0270215047467805,-0.070675615801216,-0.0613914186302921,-0.0702374440290115,-0.0926048898436014,-0.0840304241217054,-0.0926048898436014,-0.0517915727258883,-0.0449773053707417,-0.052200287240988,-0.0741509087679493,-0.065339002549551,-0.0757000236275712,-0.0442005874946653,-0.0387091475477662,-0.0449046877318158,-0.0642778073967835,-0.0582902461421863,-0.065339002549551,0.000196057716557478
2017-06-26,0.0281010226077095,0.0263034426503389,0.0228058768552966,0.0248953253391125,-0.0678030177869772,-0.058192331502811,-0.0647394004325423,-0.0895376002978911,-0.081865494238662,-0.0863323646206107,-0.0497144832132691,-0.0427240074425063,-0.0481204546642712,-0.0708776635249,-0.063266401020249,-0.0686327524237437,-0.0425084954660323,-0.036780863368661,-0.0414003544392263,-0.0628725173328891,-0.0565852704247378,-0.0615466068933767,0.000164631572404916
2017-06-27,-0.0049019706011136,0.0266833064469384,0.0234352892255601,0.0259319410523676,-0.0687379300335194,-0.0597239154677336,-0.0673831921983939,-0.0910226401268682,-0.0829320764731999,-0.0888494628005777,-0.0503859489867575,-0.043916553536291,-0.0500942891743548,-0.0714794582720387,-0.06387199516896,-0.0711772529237478,-0.0430985871317606,-0.0377789212688696,-0.0430813096813823,-0.0634668559599344,-0.057142332511031,-0.0634668559599344,0.000291840772694512
2017-06-28,-0.0107040956075256,0.0255535831563932,0.0222434226569801,0.0237293419491555,-0.0657920612060772,-0.0566912224827652,-0.0616613990642149,-0.0875828688223805,-0.0802882529436125,-0.0840304241217054,-0.0482610981754988,-0.0416915514892432,-0.0458591200003514,-0.0688952562623468,-0.0624837290316387,-0.065778019193624,-0.0412955670298312,-0.0358696393772164,-0.0394290908311892,-0.0615466068933767,-0.0555130966363136,-0.0590438591290619,0.000234239814586327
2017-06-29,0.00824406976620647,0.0246541015422661,0.0215031723670625,0.022171364818819,-0.0634550390371139,-0.0547221895389348,-0.0576350977775132,-0.0857286492283959,-0.0783309372775307,-0.081865494238662,-0.0465641222926075,-0.0403145418761523,-0.0428699905260687,-0.0669139445316917,-0.0603313441648293,-0.0634668559599344,-0.0398426164583033,-0.0346872101830952,-0.0368625245641017,-0.0596746484469217,-0.0543821260219175,-0.0568638776636614,0.000106957438244002
2017-06-30,0.0154789241153308,0.0237450147310838,0.0208367061591597,0.0206487898699997,-0.0610979589819675,-0.0529927563999119,-0.0537055328945969,-0.0834777051525941,-0.0765350166077416,-0.0778675199785261,-0.0448565355808982,-0.0391050604450165,-0.0399516705340906,-0.0651213000355902,-0.05873916706033,-0.0596746484469217,-0.0383800885461733,-0.0336092504835828,-0.0343580395102729,-0.0579942621380383,-0.0534215184359662,-0.0540179955043892,0.000199375710042675
2017-07-03,-0.000808734364829194,0.0233065099532152,0.0207699819510686,0.0201661858857087,-0.0599435461613904,-0.0528188686179145,-0.0524699863235844,-0.0829320764731999,-0.0761117430945602,-0.0757000236275712,-0.0440174334054586,-0.0389695631054936,-0.0390321327510053,-0.0640733070206465,-0.0584389331023859,-0.0584389331023859,-0.0376584093504185,-0.0335081734996095,-0.0335716405154731,-0.057142332511031,-0.0533046186111751,-0.0534215184359662,8.58559003013127e-05
2017-07-04,0.00564745348398534,0.022335798461285,0.0201208904026059,0.0185603152655739,-0.057441263481837,-0.0511156847290412,-0.0483134438880067,-0.081865494238662,-0.0727503311211352,-0.0688952562623468,-0.0422020401171859,-0.037772281925039,-0.0359482953991701,-0.0626792650781699,-0.057142332511031,-0.0557746421065848,-0.0360931535281829,-0.0324618128498158,-0.0309214809466248,-0.0559075387110515,-0.052389356312354,-0.0510828948064377,2.8498055180289e-05
2017-07-05,-0.0178576173931675,0.0215137261188397,0.0197087804792039,0.0173070353312892,-0.0553083903138736,-0.0500930317606585,-0.0450434418235669,-0.0792858696900411,-0.0711772529237478,-0.065339002549551,-0.0406632548212739,-0.0370070341395041,-0.033529049257163,-0.0605006666107982,-0.0568638776636614,-0.0533046186111751,-0.0347406619213751,-0.0317937041947634,-0.028831716982207,-0.0543821260219175,-0.0518417007267746,-0.0490677094730841,0.000380267688216933
2017-07-06,-0.00328138111344931,0.0214556418720533,0.0201144024332062,0.01783786909155,-0.0551543718996,-0.0509683219152791,-0.0464557301093137,-0.0792858696900411,-0.0721038343516972,-0.0664504461472094,-0.0405292005655885,-0.0377755951221246,-0.0345673134687204,-0.0605006666107982,-0.057142332511031,-0.0543821260219175,-0.0346449946220494,-0.0324563773066266,-0.0297386618978163,-0.0543821260219175,-0.052389356312354,-0.0499515373217568,0.000189376550870074
2017-07-07,-0.0199176708931466,0.0206497418536177,0.019671144683227,0.0165444776361251,-0.0530826979298949,-0.0498427398936583,-0.0431030461233142,-0.0765350166077416,-0.0708776635249,-0.0634668559599344,-0.0390278310587432,-0.0369466243876954,-0.0320813901886258,-0.0584389331023859,-0.0568638776636614,-0.0518417007267746,-0.0333349018636151,-0.0317428297577706,-0.0275995234824978,-0.053188544396421,-0.0518417007267746,-0.0477635525040599,0.000256082487750473
2017-07-10,0.00418235655722329,0.0208945452762396,0.0202939986164077,0.0177044861831052,-0.053704394660538,-0.0511782194393837,-0.046132411447693,-0.0778675199785261,-0.0727503311211352,-0.0662235773521854,-0.0394459471164976,-0.0381115759050379,-0.0343214792436539,-0.0590438591290619,-0.0574211429969256,-0.0540179955043892,-0.0337418807809519,-0.0327639489238501,-0.0295357943512578,-0.0536585507538338,-0.0527282428650204,-0.0496528470899813,0.000186471412566754
2017-07-11,0.0287967245048173,0.0201840831542175,0.0198706981489004,0.0164794619197156,-0.0518990731523832,-0.0500874034337544,-0.0429639674325818,-0.0741509087679493,-0.0711772529237478,-0.0634668559599344,-0.0381300405942274,-0.0373181654022617,-0.0319703505903595,-0.0574211429969256,-0.0570030088609625,-0.0518417007267746,-0.032619561503226,-0.0320815474075328,-0.027515373798328,-0.0526146237380828,-0.0518417007267746,-0.0477635525040599,0.000736291408807481
