"Date","Sigma2_FIGARCH_ajustado","Residuals"
"2011-05-12",0.000810578956731632,-0.184338753949509
"2011-05-13",0.000754164801363246,-0.238623168137109
"2011-05-16",0.000665852261779046,0.694702424232706
"2011-05-17",0.000602023109190759,0.784924606494966
"2011-05-18",0.000567939814629829,-0.50960682403293
"2011-05-19",0.000534593330073318,-0.823702217757222
"2011-05-20",0.000512904782034854,0.658949215090945
"2011-05-23",0.000494295306208232,-0.727024757544837
"2011-05-24",0.000477290136183022,0.492704839000812
"2011-05-25",0.000454334918799085,0.108882477308513
"2011-05-26",0.000421629328077934,0.618535870708205
"2011-05-27",0.000397583317799453,0.19753326286685
"2011-05-30",0.000374598055387051,-0.436927018235785
"2011-05-31",0.000354356920223479,0.0340940553600442
"2011-06-01",0.000334311004898647,-0.192318416723686
"2011-06-02",0.000315606780145645,-0.104636616937843
"2011-06-03",0.000299258939799108,-0.398681361113005
"2011-06-06",0.000288032117864328,-1.44159306292591
"2011-06-07",0.00031543211422414,-0.47473343510845
"2011-06-08",0.00033054379893764,0.488682271785653
"2011-06-09",0.000324047306336898,1.19709996739412
"2011-06-10",0.000336157049535213,0.0583666815663593
"2011-06-13",0.000333358612293791,-0.89559567692695
"2011-06-14",0.000330137679470053,0.645758301745551
"2011-06-15",0.000326147328099684,-0.695850608530099
"2011-06-16",0.000320372252490456,-0.0113232206459206
"2011-06-17",0.000305187611186281,-0.110050991763861
"2011-06-20",0.000285470055749482,-0.344209280095795
"2011-06-21",0.000269571912799647,0.381816971251463
"2011-06-22",0.000258473249652789,0.0676003651441502
"2011-06-24",0.000247901599237019,-1.05955232563137
"2011-06-27",0.000255188146661847,0.586370302252306
"2011-06-28",0.000261608281654097,0.997301083993068
"2011-06-29",0.000271653539022824,-0.167634392718223
"2011-06-30",0.000269284718627511,0.893620542999655
"2011-07-01",0.000269603281746515,0.0907792670402584
"2011-07-04",0.000262787640002855,0.143710598080251
"2011-07-05",0.000249279652570622,-0.627580891538289
"2011-07-06",0.000241811650347804,-0.122048704869909
"2011-07-07",0.000233971562944163,0.34765865179321
"2011-07-08",0.000225930347178536,-0.522023431019648
"2011-07-11",0.000221599094586675,-0.821067649512517
"2011-07-12",0.000225324698211341,-0.0712908301290489
"2011-07-13",0.000223448914768378,0.791876855693386
"2011-07-14",0.000224490140357754,-1.25235582689104
"2011-07-15",0.000243257718812424,0.126180699953307
"2011-07-18",0.000247745468359322,-0.624407169289442
"2011-07-19",0.000242976997700075,-0.29626876446995
"2011-07-20",0.000234033811136643,-0.76908224823514
"2011-07-21",0.000231039066697402,1.81270866076209
"2011-07-22",0.000272831257601553,-0.0652998003204176
"2011-07-25",0.000289802495500943,1.35329928706162
"2011-07-26",0.000308355538582836,0.399317671267295
"2011-07-27",0.000308392927796851,-0.155819343913898
"2011-07-28",0.000287723521251767,-0.211990411681515
"2011-07-29",0.00026380777467147,0.0139515277935432
"2011-08-01",0.000243100393810877,0.0145335842540984
"2011-08-02",0.000226596516449371,-0.924424760076523
"2011-08-03",0.000226172181610109,-1.98312539351944
"2011-08-04",0.000279710122024595,-4.55595435604826
"2011-08-05",0.000670551640566929,-0.880351073890891
"2011-08-08",0.000895349577449137,-2.62743915582359
"2011-08-09",0.00124110963155944,0.757412364704956
"2011-08-10",0.0013758776144068,0.810512759276742
"2011-08-11",0.00129244005820232,0.674922441739501
"2011-08-12",0.00114834843642745,0.137808528135079
"2011-08-15",0.000977776266003983,1.07619063409659
"2011-08-16",0.000887538793580579,-0.362232188179163
"2011-08-17",0.000805068319838254,0.194238352270805
"2011-08-18",0.000705023196908373,-1.03438346610747
"2011-08-19",0.000659082024907177,-1.15982236406116
"2011-08-22",0.000665683631827926,-0.0897139000705641
"2011-08-23",0.000633019514637018,1.02741780996171
"2011-08-24",0.00060967782595129,0.14955704397045
"2011-08-25",0.000569592675567075,-0.763943772334944
"2011-08-26",0.000533273045094267,0.0969429963572665
"2011-08-29",0.000491391320416486,1.3282524088901
"2011-08-30",0.000500098273889751,0.140884450499875
"2011-08-31",0.000490868756200089,0.556007149218412
"2011-09-01",0.000461768906796124,0.544423107590787
"2011-09-02",0.00043358169470493,-1.54329991073622
"2011-09-05",0.00046700139926802,-0.768408713463424
"2011-09-06",0.000489096914330411,0.992779617215099
"2011-09-08",0.000494697278170066,0.425580245317648
"2011-09-09",0.000474394904784452,-1.13718459259412
"2011-09-12",0.000472747969627029,0.442064464505332
"2011-09-13",0.000458508277126605,-0.0353603792860398
"2011-09-14",0.000422486703889062,0.487533612050088
"2011-09-15",0.000389426644557389,0.0855139610243432
"2011-09-16",0.000359705103820827,0.267900981953645
"2011-09-19",0.000334285842978802,0.408252040034987
"2011-09-20",0.000316173654216111,-0.53063176095334
"2011-09-21",0.000305466769884577,0.0129653300732418
"2011-09-22",0.000293142106450974,-3.19191356078713
"2011-09-23",0.000468367568818549,-0.802294122113177
"2011-09-26",0.000581355044372417,1.33021236960266
"2011-09-27",0.000625714409684572,-0.458515492169889
"2011-09-28",0.000604836290907942,-0.408900598495879
"2011-09-29",0.000545445292803216,0.120200264092598
"2011-09-30",0.00047977493043729,-0.70116383737799
"2011-10-03",0.000437147007018972,-1.74897792600225
"2011-10-04",0.000485025828465867,0.35427915326157
"2011-10-05",0.000500697757995122,-0.816592172429677
"2011-10-06",0.000484356299776723,1.57981057257695
"2011-10-07",0.000523849493085606,-1.28388504994472
"2011-10-10",0.000576957770732615,1.37454208995132
"2011-10-11",0.000629150453764094,0.532654034716324
"2011-10-13",0.000620202897406423,0.488249341694694
