"Date","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","Parkinson"
2011-05-12,0.00094464838458284,0.000774720268516459,0.00756973372015182,0.000154510408359927
2011-05-13,0.0008668821818595,0.000645890942074739,0.00723896941726729,8.81703719081159e-05
2011-05-16,0.00079811314795703,0.000545730031180818,0.00196167345793171,0.000586483652453048
2011-05-17,0.000761749554431735,0.000516902582838596,0.00142616670986383,0.000321698974826781
2011-05-18,0.000733471793116514,0.000503515059130304,0.00130272882535484,0.000203980132327427
2011-05-19,0.000687186430606148,0.000450577766581582,0.00101997279848318,0.00035183780079016
2011-05-20,0.000664886429042671,0.000449853613359508,0.00109527908867991,0.000285509311481444
2011-05-23,0.000632565008375874,0.000420929687024311,0.000984848992665803,5.46707834538398e-05
2011-05-24,0.000606441297224932,0.000405863749392525,0.000958700019261279,7.29336361974885e-05
2011-05-25,0.000570073369972141,0.0003650061234178,0.00085591894305578,0.000197535358895972
2011-05-26,0.000527100969820509,0.000311292212153476,0.000779421844133503,0.000121435569346237
2011-05-27,0.000502663661049449,0.000296573760485469,0.000796989308093751,5.50190476867664e-05
2011-05-30,0.000467239288731746,0.000256871040055563,0.000729238430323955,4.4953024058444e-05
2011-05-31,0.000440185242099468,0.000234928223057808,0.000713177347021723,0.000137013457975323
2011-06-01,0.000409458818765708,0.000203061222468231,0.000671410375429015,6.02518771261549e-05
2011-06-02,0.000382765269678085,0.000178805193550821,0.000647831629888301,7.29946833572213e-05
2011-06-03,0.000357902142422963,0.000156747726528526,0.000622751259609868,0.000151424561692727
2011-06-06,0.000339406212390969,0.000146781576775955,0.000610979683390231,0.000396068511618221
2011-06-07,0.000372524117372176,0.000271856866943945,0.000980412427762776,0.000124390396195699
2011-06-08,0.000354710021227147,0.000247227352203897,0.00065544978173014,0.000242305729438571
2011-06-09,0.000339616882777421,0.000227958194481698,0.000586795115645786,0.000471364663707252
2011-06-10,0.000361217544323478,0.000294048416035687,0.000772868148451881,5.78413663622818e-05
