Date,Residual
2015-06-29,-104.21926857713967
2015-06-30,-8.221207507874565
2015-07-01,-100.60595480359939
2015-07-02,19.698793273092434
2015-07-03,-90.84028493063424
2015-07-06,-36.627274827233705
2015-07-07,39.42736557407139
2015-07-08,-32.13072104137201
2015-07-10,27.94496444853166
2015-07-13,3.710963362123262
2015-07-14,23.487786910480644
2015-07-15,-28.51706775473506
2015-07-16,16.32176966430919
2015-07-17,-76.90931842505421
2015-07-20,-87.03112985541489
2015-07-21,-2.47452709363268
2015-07-22,-49.297113372724624
2015-07-23,-20.29351316664818
2015-07-24,-13.689571389619664
2015-07-27,-56.26753821493764
2015-07-28,43.41908716160514
2015-07-29,75.62206844791167
2015-07-30,-30.469297600599287
2015-07-31,3.2864255657886567
2015-08-03,-54.69099274971245
2015-08-04,16.544494799886067
2015-08-05,-19.054442364495724
2015-08-06,33.366083178242135
2015-08-07,-75.70523677524723
2015-08-10,27.051233466446376
2015-08-11,-12.78304623212277
2015-08-12,5.46652445976533
2015-08-13,-42.713871199422684
2015-08-14,-23.52098517922728
2015-08-17,-20.005124041314318
2015-08-18,-13.420199350642436
2015-08-19,-23.731295592659855
2015-08-20,-6.5355512766401205
2015-08-21,-50.09272698695366
2015-08-24,-58.8385313182992
2015-08-25,13.310595770451444
2015-08-26,18.954145135733068
2015-08-27,72.00663883205813
2015-08-28,13.010587780345244
2015-08-31,23.3637740517002
2015-09-01,-74.88024769831851
2015-09-02,24.333688783376996
2015-09-03,-6.324699440355158
2015-09-04,-26.332884222726953
2015-09-08,12.400223519288966
2015-09-09,-26.89508944767063
2015-09-10,-46.99958985697816
2015-09-11,-34.509375447584766
2015-09-14,6.407480906680505
2015-09-15,-7.735925336750035
2015-09-16,52.01353132040989
2015-09-17,-34.36945270176612
2015-09-18,-30.054166429881406
2015-09-21,-33.91874398164909
2015-09-22,-35.97846343688409
2015-09-23,-15.20906546703882
2015-09-24,12.96435542258977
2015-09-25,-12.981687935813468
2015-09-28,-36.04191327649494
2015-09-29,13.330461075711101
2015-09-30,64.0366864976577
2015-10-01,-27.336037978353886
2015-10-02,95.2867756475528
2015-10-05,7.196928110459485
2015-10-06,43.49266948275862
2015-10-07,34.382799043635
2015-10-08,35.17379965014155
2015-10-09,6.127444937262025
2015-10-13,-80.78779953015962
2015-10-14,-18.414536155143495
2015-10-15,4.072283573882576
2015-10-16,-5.22362828692995
2015-10-19,0.0
2015-10-20,11.196692993928778
2015-10-21,-36.369163997958395
2015-10-22,30.119370706906984
2015-10-23,-3.4441461512422356
2015-10-26,-15.978752825058123
2015-10-27,-28.319869481095555
2015-10-28,10.967567586927352
2015-10-29,-10.61151211251595
2015-10-30,11.238334380559055
2015-11-03,89.42144920946366
2015-11-04,-63.55443909122595
2015-11-05,3.9856253436151263
2015-11-06,-40.52549669065862
2015-11-09,-27.49383113602103
2015-11-10,-4.610010768676953
2015-11-11,17.33714831191584
2015-11-12,-25.39552510066118
2015-11-13,-60.51202442442316
2015-11-16,75.27005995592089
2015-11-17,11.744686236272843
2015-11-18,11.931091131609387
2015-11-19,4.206769086400208
2015-11-23,51.429782645203126
2015-11-24,93.3556333743366
2015-11-25,-148.35095597472613
2015-11-26,4.220651735263713
2015-11-27,-65.45845514591795
2015-11-30,12.89082382467228
2015-12-01,-33.16570497161441
2015-12-02,5.13049971308257
2015-12-03,78.36063835750706
2015-12-04,-95.82898114640767
2015-12-07,-68.17284516440708
2015-12-08,-10.932426442473368
2015-12-09,89.26361941586643
2015-12-10,-38.37630848968824
2015-12-11,-33.597730105481396
2015-12-14,-6.389823912948651
2015-12-15,32.64515204464801
2015-12-16,-21.71350453737506
2015-12-17,-14.551622548860934
2015-12-18,-31.70806580452226
2015-12-21,-67.26381486548888
2015-12-22,24.014507620572807
2015-12-23,22.3818995662349
2015-12-28,-42.65433141625753
2015-12-29,-1.8882350617386428
2015-12-30,1.9695189440665262
2016-01-04,35.55479198552186
2016-01-05,-43.97896025489437
2016-01-06,-60.19210872777942
2016-01-07,-27.36477114232965
2016-01-08,1.9818162667631396
2016-01-11,-38.07035984149982
2016-01-12,-114.601146671917
2016-01-13,-44.673586689204306
2016-01-14,57.54952480039461
2016-01-15,-79.31735227262917
2016-01-18,-47.898386584275656
2016-01-19,-16.53269365082066
2016-01-20,-25.895667473541067
2016-01-21,7.373729202266867
2016-01-22,-9.819188268901362
2016-01-26,-23.141027123140063
2016-01-27,36.982452252922286
2016-01-28,3.2607014365567726
2016-01-29,24.960601268893367
2016-02-01,-11.153087574521821
2016-02-02,-39.916134125977685
2016-02-03,17.365706286921306
2016-02-04,22.241990588801063
2016-02-05,-20.81801458248777
2016-02-10,-24.852174420814308
2016-02-11,-8.753272003896832
2016-02-12,23.929898891505992
2016-02-15,8.321081934923331
2016-02-16,-10.264645455960597
2016-02-17,30.712315373329293
2016-02-18,-13.140133099828999
2016-02-19,-20.14475907259577
2016-02-22,80.36690137248434
2016-02-23,-18.164477497117442
2016-02-24,-6.844190736990707
2016-02-25,2.4295505062772036
2016-02-26,-2.4128425228049513
2016-02-29,30.83993503280112
2016-03-01,20.073426540105967
2016-03-02,42.95690923348712
2016-03-03,122.92298366500789
2016-03-04,100.66885152971264
2016-03-07,17.498761234082917
2016-03-08,8.922780043690391
2016-03-09,11.050551532975915
2016-03-10,26.715052683030283
2016-03-11,11.499426879769805
2016-03-14,-57.82489747967906
2016-03-15,-62.80922468548106
2016-03-16,41.2425511056229
2016-03-17,54.99644209976288
2016-03-18,1.0918864547463805
2016-03-21,-3.179007956239072
