Date,Residual
2015-06-29,-30.340069616091725
2015-06-30,-2.7667215975313217
2015-07-01,-36.61906232580648
2015-07-02,9.036311313583612
2015-07-03,-41.86072878956126
2015-07-06,-19.225157960515293
2015-07-07,22.41616986376117
2015-07-08,-16.630738303856628
2015-07-10,17.631447606669408
2015-07-13,2.085362886444608
2015-07-14,12.384171084804153
2015-07-15,-13.755080636364296
2015-07-16,8.47881574256524
2015-07-17,-37.54297259716956
2015-07-20,-49.17546514428176
2015-07-21,-1.7962523208073413
2015-07-22,-35.29789141909282
2015-07-23,-17.537530796343994
2015-07-24,-12.029519021850778
2015-07-27,-50.85084128393002
2015-07-28,44.54099040188967
2015-07-29,64.722261785311
2015-07-30,-18.518233826004664
2015-07-31,2.3637002889404997
2015-08-03,-38.4739113134917
2015-08-04,14.178966812553135
2015-08-05,-14.312680214525788
2015-08-06,26.872404901421714
2015-08-07,-54.282688561622045
2015-08-10,24.43224769247685
2015-08-11,-10.86263320984463
2015-08-12,4.5180801713862495
2015-08-13,-33.29353873103678
2015-08-14,-19.541070827517586
2015-08-17,-16.885411650550267
2015-08-18,-11.108342469013845
2015-08-19,-20.17110228576373
2015-08-20,-6.152957552658649
2015-08-21,-44.30074436855976
2015-08-24,-64.02572906836171
2015-08-25,18.399815053566105
2015-08-26,25.386077087495902
2015-08-27,90.34896787964854
2015-08-28,10.704151695914558
2015-08-31,17.573741918103874
2015-09-01,-56.15409205904257
2015-09-02,24.058740110566074
2015-09-03,-6.2301398364057805
2015-09-04,-25.836089840100062
2015-09-08,13.804255879531546
2015-09-09,-24.788910943279397
2015-09-10,-46.3198493407403
2015-09-11,-36.12217514078852
2015-09-14,7.014117761281541
2015-09-15,-7.688192038294463
2015-09-16,52.87223829990179
2015-09-17,-27.54813160002964
2015-09-18,-27.859318267801005
2015-09-21,-34.54991789133165
2015-09-22,-41.49975422662746
2015-09-23,-20.161015249357263
2015-09-24,19.626023258316255
2015-09-25,-20.390733423681844
2015-09-28,-59.99784286526734
2015-09-29,26.264100430023387
2015-09-30,93.47775298696317
2015-10-01,-26.098905191674
2015-10-02,86.38931972674298
2015-10-05,5.150014092417872
2015-10-06,36.69526633734972
2015-10-07,26.121970581737024
2015-10-08,25.597479047268862
2015-10-09,4.3818563318559915
2015-10-13,-59.75842480339345
2015-10-14,-18.202382789798875
2015-10-15,4.466268172189664
2015-10-16,-5.357650192365177
2015-10-19,0.0
2015-10-20,9.956325964512958
2015-10-21,-29.807746431939606
2015-10-22,28.380871553138753
2015-10-23,-3.0273509918352315
2015-10-26,-14.972320182044934
2015-10-27,-29.164005051396447
2015-10-28,12.347191843360303
2015-10-29,-11.238689142023167
2015-10-30,14.075388501805447
2015-11-03,105.09187058958904
2015-11-04,-46.05005388153785
2015-11-05,4.131117028871875
2015-11-06,-38.514265186938914
2015-11-09,-25.397648307089284
2015-11-10,-4.190736866123643
2015-11-11,13.849603078793841
2015-11-12,-15.850334483222552
2015-11-13,-36.32193996211315
2015-11-16,54.30260049321881
2015-11-17,6.644662150451495
2015-11-18,6.479503536005003
2015-11-19,2.1483602860716053
2015-11-23,25.485810722618627
2015-11-24,41.171822368151965
2015-11-25,-58.432694135936785
2015-11-26,2.201808443183713
2015-11-27,-35.37363541517982
2015-11-30,8.245949068562528
2015-12-01,-21.508975814319182
2015-12-02,3.6594495093610946
2015-12-03,54.89097347513959
2015-12-04,-52.16514312201945
2015-12-07,-39.93059409239616
2015-12-08,-7.717640635958647
2015-12-09,61.8915809096657
2015-12-10,-21.496924800409218
2015-12-11,-22.78273935667609
2015-12-14,-4.712476063990759
2015-12-15,24.095865622253108
2015-12-16,-14.69537378091963
2015-12-17,-11.052240893841102
2015-12-18,-22.48632510486654
2015-12-21,-51.039738032743486
2015-12-22,22.080631679865906
2015-12-23,19.24815343336938
2015-12-28,-30.099830610570294
2015-12-29,-1.3216390100410333
2015-12-30,1.3744133102983696
2016-01-04,22.17040613354456
2016-01-05,-24.738017528908063
2016-01-06,-39.40253975915632
2016-01-07,-22.152082130464112
2016-01-08,1.6281923757806749
2016-01-11,-27.432763813584437
2016-01-12,-95.13724578287888
2016-01-13,-55.28672458990342
2016-01-14,87.14818836784148
2016-01-15,-86.14323853328827
2016-01-18,-71.58649557245975
2016-01-19,-29.643443092425716
2016-01-20,-46.71767463831998
2016-01-21,13.658071643995447
2016-01-22,-16.173439134687893
2016-01-26,-39.21824452317672
2016-01-27,70.71620561941724
2016-01-28,5.161814033736428
2016-01-29,39.9745621963395
2016-02-01,-18.949264075857528
2016-02-02,-75.43203665116229
2016-02-03,39.80821714909355
2016-02-04,43.485026477422316
2016-02-05,-29.05937161864493
2016-02-10,-38.874893561797904
2016-02-11,-15.423497695023501
2016-02-12,42.51526638244031
2016-02-15,12.234718249286551
2016-02-16,-13.618726477432933
2016-02-17,45.95640780652104
2016-02-18,-16.998793926165913
2016-02-19,-25.2355770064493
2016-02-22,119.29617349363407
2016-02-23,-21.21091334653655
2016-02-24,-9.472003230443358
2016-02-25,3.964984341654203
2016-02-26,-3.936353134882467
2016-02-29,54.12671967975532
2016-03-01,31.943919701107184
2016-03-02,56.28182894314971
2016-03-03,128.29687290080764
2016-03-04,69.07385375134778
2016-03-07,14.864280492238704
2016-03-08,10.652297686935965
2016-03-09,13.624517557017825
2016-03-10,34.89436546338568
2016-03-11,12.494479117736756
2016-03-14,-63.09479920097243
2016-03-15,-89.66503084979269
2016-03-16,74.63561566972857
2016-03-17,85.89007510811824
2016-03-18,1.7341110932847867
2016-03-21,-5.2626004703156735
