,Residuals_LSTM
0,19.591038212259203
1,25.98241936896047
2,45.30783809856713
3,-73.08451358375198
4,-6.261631092787662
5,16.102966894987265
6,30.56783649529193
7,-47.73700132320623
8,14.93435579280637
9,-41.526919474555825
10,-149.97398183270315
11,43.176789543187226
12,-65.89118483644765
13,27.025734788847114
14,19.707382587859527
15,-27.348274725373575
16,-69.86572219937224
17,-45.69728834367628
18,-49.45246524111158
19,37.61820107384212
20,41.26583296346436
21,-7.033837594780355
22,-19.228100533529005
23,86.71477387991474
24,-41.002136321004905
25,69.56701768539818
26,13.019083143476852
27,-120.65840748504208
28,-63.2499285948883
29,52.14134879067267
30,-70.1056125114634
31,233.04140131865066
32,5.005507464041217
33,-25.54161212935126
34,11.434313265201292
35,49.11263769522326
36,54.21965789172077
37,31.362471125736086
38,-90.37929200758543
39,-0.011396371975155332
40,-30.174806612815402
41,-18.00151435395792
42,-4.736580450263369
43,49.63221921678191
44,67.47757413520219
45,18.62128894931212
46,-30.673142333254106
47,123.08395228683762
48,-25.03754490946817
49,-145.4952652554256
50,-17.889456729502246
51,-50.59075780138904
52,-30.12899722183964
53,13.929226635810172
54,-178.0956794540914
55,55.69373582575573
56,-17.040583494762267
57,87.81300234177449
58,-36.95094537802677
59,46.94513396660707
60,-24.923159985677064
61,-127.83894494944977
62,-28.30767728427189
63,54.054473680012514
64,62.68836003531539
65,99.25104197860324
66,6.403476867707474
67,25.537219716356454
68,-19.45997990002073
69,45.11730446577757
70,-17.084059869821445
71,80.31558156015507
72,86.12968192522719
73,71.31943517266308
74,-91.25240197205426
75,-4.457715563261241
76,56.49037916972499
77,21.92663675751237
78,35.17924336643115
79,5.970865434069685
80,-9.719375315699281
81,-17.899748755292773
82,-174.45448022073964
83,42.21715254339563
84,-101.68064869132343
85,-26.659963976669864
86,173.29498817623724
87,-27.571752422853706
88,-6.682375027209039
89,25.736547498510813
90,-169.594124260287
91,64.58064842472878
92,-99.09897443072354
93,-68.30598830972792
94,-11.335097315435153
95,19.7117253276433
96,38.37876571723175
97,-15.988668107445175
98,1.5124562527522798
99,41.055144847818944
100,21.6180115003058
101,-56.63913909853004
102,-3.1250665850558317
103,-35.09650285097623
104,19.963102714200428
105,112.45244368739348
106,52.975474536385555
107,113.86493342420398
108,-115.78018167577392
109,100.30375808007057
110,-4.297232827177773
111,17.548578536793485
112,223.01227192136764
113,45.50112796688075
114,14.24001414515799
115,48.40325769344066
116,-1.001959539028308
117,-5.849960485960436
118,33.470109945014116
119,-17.293818089897492
120,-32.44105864089399
121,15.774450729014342
122,34.281315979124784
123,-64.59091866494651
124,-69.80205832163844
125,2.989253167190163
126,-2.91833791038902
127,12.580850943297273
128,34.827149721805235
129,2.7977090600767247
130,-24.111749577947556
131,-8.707459657348977
132,64.90188138873889
133,12.228289872530212
134,-132.00571891679553
135,-2.290169325204742
136,15.73829948958017
137,-21.204546001434867
138,102.89998192570003
139,117.50637451266289
140,83.51971489085697
141,159.9212032287379
142,7.230561270921142
143,19.27639272191621
144,-20.43803917198846
145,29.982077203575937
146,6.30971646213218
147,21.632861074274352
148,124.01432460600941
149,106.55986894994297
150,1.2058450544161512
151,-160.55857579209015
152,-19.396984842561565
153,57.505374295319086
154,-42.80423067176731
155,-37.67236429838204
156,42.81743850341071
157,-35.584240148290846
158,-22.31237726867621
159,8.12246524361578
160,33.26034122967534
161,95.79720735447609
162,-65.52453821252514
163,-43.042935820362366
164,36.82518655785896
165,-11.20690002708681
166,16.987602117723544
167,72.753079492906
168,-10.18668787044377
169,44.04871128590272
170,-78.34990520199689
171,55.701149603517244
172,60.03428219942728
173,-40.1429549857753
174,-0.8828935760153792
175,-229.3934130950916
176,47.7497996875732
177,6.649923055648671
178,71.60963486506111
179,-85.15472459770963
180,-36.918234207023175
181,-38.796125201025966
182,-12.587469383651205
183,-38.89226193701994
184,27.280040622297367
185,51.06276886460245
186,-6.995598332828192
187,21.584632581058568
