"Index","Forecasts"
"2020-05-14",3.30763756164628
"2020-05-15",3.48225490924596
"2020-05-16",3.65390559720304
"2020-05-17",3.40009571399946
"2020-05-18",3.35346915587657
"2020-05-19",3.13173457033615
"2020-05-20",2.92703453183333
"2020-05-21",2.90756856029772
"2020-05-22",3.1307369306863
"2020-05-23",2.95163218809976
"2020-05-24",2.76141860557432
"2020-05-25",3.04459831475561
"2020-05-26",2.93183521495636
"2020-05-27",2.75864328835945
"2020-05-28",2.90342298110417
"2020-05-29",3.02494871872644
"2020-05-30",2.8851808761614
"2020-05-31",2.87912582269151
"2020-06-01",2.85265772368012
"2020-06-02",3.30787334692709
"2020-06-03",3.69013930024258
"2020-06-04",3.48704160349129
"2020-06-05",3.26216096491828
"2020-06-06",3.12529653921305
"2020-06-07",2.92739851039736
"2020-06-08",2.75762562419786
"2020-06-09",2.58508190153489
"2020-06-10",2.42599171411598
"2020-06-11",2.29763527847431
"2020-06-12",2.6766152922295
"2020-06-13",2.60675304598619
"2020-06-14",2.44732306255073
"2020-06-15",2.3489664704991
"2020-06-16",2.2260158663059
"2020-06-17",2.12534366092937
"2020-06-18",2.00114888128599
"2020-06-19",1.91167758202882
"2020-06-20",1.82260541684391
"2020-06-21",1.71790518581086
"2020-06-22",1.62705717124364
"2020-06-23",1.90580681976582
"2020-06-24",1.79398829890635
"2020-06-25",2.00559052465721
"2020-06-26",1.89957351838465
"2020-06-27",1.81593638746997
"2020-06-28",1.82102255802344
"2020-06-29",1.76471226125445
"2020-06-30",1.68743618122616
"2020-07-01",1.60700918718233
"2020-07-02",1.55630797779692
"2020-07-03",1.58413591541785
"2020-07-04",1.49698018634255
"2020-07-05",1.43911252887274
"2020-07-06",1.38703667176856
"2020-07-07",1.58395265156157
"2020-07-08",1.53842694979315
"2020-07-09",1.58631213739673
"2020-07-10",1.6768703598104
"2020-07-11",1.5896376107098
"2020-07-12",1.51445353219935
"2020-07-13",1.45137992891119
"2020-07-14",1.39262756479165
"2020-07-15",1.3106950102378
"2020-07-16",1.26090098089461
"2020-07-17",1.21667134819944
"2020-07-18",1.14557232963888
"2020-07-19",1.0758483039224
"2020-07-20",1.01993953700655
"2020-07-21",0.979566262141382
"2020-07-22",1.17486647694709
"2020-07-23",1.20973037463255
"2020-07-24",1.18411605723841
"2020-07-25",1.15069206179271
"2020-07-26",1.22887370017054
"2020-07-27",1.37818246068611
"2020-07-28",1.84975452439752
"2020-07-29",1.78850156429867
"2020-07-30",1.79394607742055
"2020-07-31",1.67542612023761
"2020-08-01",1.73845756369717
"2020-08-02",2.01819198048695
"2020-08-03",2.49373188250228
"2020-08-04",2.36600365260301
"2020-08-05",2.19976601327833
"2020-08-06",2.52723333308917
"2020-08-07",2.33338961366807
"2020-08-08",2.24202394935084
"2020-08-09",2.15658236006843
"2020-08-10",2.02656375774752
"2020-08-11",2.01057864843751
"2020-08-12",2.28795051627102
"2020-08-13",2.20054512034501
"2020-08-14",2.16069068154739
"2020-08-15",2.01913426899884
"2020-08-16",1.90781502015275
"2020-08-17",1.7941195880719
"2020-08-18",1.95285918766454
"2020-08-19",2.07988699573568
"2020-08-20",2.04671467813567
"2020-08-21",1.93888472866587
"2020-08-22",2.05930277687738
"2020-08-23",1.96970667719928
"2020-08-24",1.84083723262397
"2020-08-25",1.75287242926489
"2020-08-26",2.01099713666422
"2020-08-27",1.93935854066472
"2020-08-28",1.86760998197882
"2020-08-29",1.86241332667273
"2020-08-30",1.75999020367433
"2020-08-31",1.81688089601828
"2020-09-01",1.63316592898517
"2020-09-02",1.79835217071758
"2020-09-03",2.12125860084639
"2020-09-04",2.76809698791358
"2020-09-05",2.78462229039952
"2020-09-06",2.78637280436083
"2020-09-07",2.59572694286637
"2020-09-08",2.45214151060883
"2020-09-09",2.46201701513659
"2020-09-10",2.31785824420763
"2020-09-11",2.20039478056922
"2020-09-12",2.05385156108291
"2020-09-13",1.93739271058946
"2020-09-14",1.85321449960793
"2020-09-15",2.03246983734767
"2020-09-16",1.94173246834923
"2020-09-17",1.90627716605721
"2020-09-18",1.7729488778332
"2020-09-19",1.6595227312296
"2020-09-20",1.63330857666307
"2020-09-21",1.64077430872542
"2020-09-22",1.99122786683002
"2020-09-23",1.9049400482127
"2020-09-24",2.03535586309477
"2020-09-25",2.36011368755941
"2020-09-26",2.19528247134055
"2020-09-27",2.04455464336969
"2020-09-28",1.9173841793776
"2020-09-29",1.81432466724402
"2020-09-30",1.77286317681358
"2020-10-01",1.68064246281612
"2020-10-02",1.67416405325753
"2020-10-03",1.58146800602097
"2020-10-04",1.48750451085862
"2020-10-05",1.46125176595416
"2020-10-06",1.44154330098907
"2020-10-07",1.51958300632369
"2020-10-08",1.43834963068945
"2020-10-09",1.57961149370431
"2020-10-10",1.54301440811453
"2020-10-11",1.63727013007459
"2020-10-12",1.55190977678792
"2020-10-13",1.53917644458229
"2020-10-14",1.49923127410152
"2020-10-15",1.4054213716637
"2020-10-16",1.34982724605768
"2020-10-17",1.41893502918288
"2020-10-18",1.33341284954035
"2020-10-19",1.33279362706497
"2020-10-20",1.45338254642331
"2020-10-21",1.45100360138941
"2020-10-22",1.91564860987708
"2020-10-23",1.86265922711619
"2020-10-24",1.744969157451
"2020-10-25",1.71773333939148
"2020-10-26",1.63192607384231
"2020-10-27",1.52547838967294
"2020-10-28",1.85816751487357
"2020-10-29",2.00250913135137
"2020-10-30",1.93769870331988
"2020-10-31",1.82838695830969
"2020-11-01",1.81049311418897
"2020-11-02",1.69327792909284
"2020-11-03",1.70445784067699
